wavelength (nm),irradiance_mar25_mar29 (W/m^2/nm),irradiance_mar30_apr04 (W/m^2/nm),irradiance_apr10_apr16 (W/m^2/nm),source (1: TIMED XPS, 2: Rocket EVE, 3: TIMED EGS, 4: SORCE SOLSTICE, 5: SORCE SIM, -1: fill)
8.95,2.4871E-5,2.4871E-5,1.7597E-5,2
9.05,2.4658E-5,2.4658E-5,1.7486E-5,2
9.15,3.1587E-5,3.1587E-5,2.0641E-5,2
9.25,2.6889E-5,2.6889E-5,1.9012E-5,2
9.35,3.324E-5,3.324E-5,1.9605E-5,2
9.45,2.5332E-5,2.5332E-5,1.8129E-5,2
9.55,4.1044E-5,4.1044E-5,3.0191E-5,2
9.65,3.6379E-5,3.6379E-5,2.6678E-5,2
9.75,3.0343E-5,3.0343E-5,2.2357E-5,2
9.85,3.1558E-5,3.1558E-5,2.3066E-5,2
9.95,1.8548E-5,1.8548E-5,1.3557E-5,2
10.05,2.8222E-5,2.8222E-5,2.061E-5,2
10.15,2.4556E-5,2.4556E-5,1.7395E-5,2
10.25,3.0913E-5,3.0913E-5,2.2386E-5,2
10.35,4.4727E-5,4.4727E-5,3.2309E-5,2
10.45,2.4433E-5,2.4433E-5,1.7688E-5,2
10.55,2.491E-5,2.491E-5,1.8303E-5,2
10.65,1.6602E-5,1.6602E-5,1.2208E-5,2
10.75,1.2398E-5,1.2398E-5,9.0554E-6,2
10.85,1.4149E-5,1.4149E-5,9.8117E-6,2
10.95,8.8112E-6,8.8112E-6,6.2021E-6,2
11.05,1.1732E-5,1.1732E-5,8.3758E-6,2
11.15,2.5567E-5,2.5567E-5,1.8886E-5,2
11.25,1.6411E-5,1.6411E-5,1.2033E-5,2
11.35,2.1721E-5,2.1721E-5,1.5902E-5,2
11.45,1.9067E-5,1.9067E-5,1.3957E-5,2
11.55,1.7898E-5,1.7898E-5,1.3113E-5,2
11.65,2.3718E-5,2.3718E-5,1.7456E-5,2
11.75,1.7782E-5,1.7782E-5,1.3065E-5,2
11.85,1.1119E-5,1.1119E-5,8.1276E-6,2
11.95,1.078E-5,1.078E-5,7.7174E-6,2
12.05,8.8354E-6,8.8354E-6,6.4205E-6,2
12.15,9.2986E-6,9.2986E-6,6.8375E-6,2
12.25,1.2529E-5,1.2529E-5,9.2806E-6,2
