tempo_s,strain_H1,strain_L1
-1.967285,9.541347e-20,-1.331176e-18
-1.967041,5.551536e-20,-1.327824e-18
-1.966797,4.726779e-20,-1.300732e-18
-1.966553,7.132838e-20,-1.253535e-18
-1.966309,9.853190e-20,-1.252674e-18
-1.966064,1.045959e-19,-1.306079e-18
-1.965820,5.651378e-20,-1.344907e-18
-1.965576,7.717666e-20,-1.321326e-18
-1.965332,1.386248e-19,-1.278809e-18
-1.965088,1.083423e-19,-1.271909e-18
-1.964844,8.622872e-20,-1.251403e-18
-1.964600,1.097959e-19,-1.204509e-18
-1.964355,1.318672e-19,-1.203537e-18
-1.964111,1.508411e-19,-1.252797e-18
-1.963867,1.125226e-19,-1.295275e-18
-1.963623,1.042737e-19,-1.273386e-18
-1.963379,1.752411e-19,-1.223772e-18
-1.963135,1.663115e-19,-1.212232e-18
-1.962891,1.255340e-19,-1.192678e-18
-1.962646,1.493844e-19,-1.152358e-18
-1.962402,1.695444e-19,-1.150730e-18
-1.962158,1.889634e-19,-1.198559e-18
-1.961914,1.692868e-19,-1.240908e-18
-1.961670,1.378311e-19,-1.219662e-18
-1.961426,2.006793e-19,-1.169171e-18
-1.961182,2.201048e-19,-1.149428e-18
-1.960938,1.694413e-19,-1.131870e-18
-1.960693,1.837755e-19,-1.095985e-18
-1.960449,2.102900e-19,-1.093773e-18
-1.960205,2.256228e-19,-1.142748e-18
-1.959961,2.233537e-19,-1.183420e-18
-1.959717,1.824262e-19,-1.164690e-18
-1.959473,2.207893e-19,-1.111534e-18
-1.959229,2.701528e-19,-1.084998e-18
-1.958984,2.196929e-19,-1.072044e-18
-1.958740,2.150760e-19,-1.039553e-18
-1.958496,2.522555e-19,-1.038306e-18
-1.958252,2.586797e-19,-1.086205e-18
-1.958008,2.686867e-19,-1.124603e-18
-1.957764,2.361932e-19,-1.108045e-18
-1.957520,2.428336e-19,-1.053905e-18
-1.957275,3.103364e-19,-1.021346e-18
-1.957031,2.774335e-19,-1.006780e-18
-1.956787,2.474254e-19,-9.828757e-19
-1.956543,2.910874e-19,-9.833788e-19
-1.956299,2.983626e-19,-1.026433e-18
-1.956055,3.062562e-19,-1.066930e-18
-1.955811,2.901984e-19,-1.051620e-18
-1.955566,2.706648e-19,-9.960931e-19
-1.955322,3.369887e-19,-9.596612e-19
-1.955078,3.373300e-19,-9.436589e-19
-1.954834,2.841447e-19,-9.223099e-19
-1.954590,3.213449e-19,-9.248225e-19
-1.954346,3.425885e-19,-9.693699e-19
-1.954102,3.414666e-19,-1.007641e-18
-1.953857,3.419636e-19,-9.927807e-19
-1.953613,3.095746e-19,-9.386329e-19
-1.953369,3.566882e-19,-8.964500e-19
-1.953125,3.890623e-19,-8.803437e-19
-1.952881,3.291331e-19,-8.655303e-19
-1.952637,3.463499e-19,-8.689578e-19
-1.952393,3.830996e-19,-9.138484e-19
-1.952148,3.756405e-19,-9.519649e-19
-1.951904,3.819914e-19,-9.368269e-19
-1.951660,3.573265e-19,-8.823709e-19
-1.951416,3.744354e-19,-8.336676e-19
-1.951172,4.294470e-19,-8.165095e-19
-1.950928,3.857148e-19,-8.087923e-19
-1.950684,3.681363e-19,-8.144001e-19
-1.950439,4.176494e-19,-8.567341e-19
-1.950195,4.144809e-19,-8.956427e-19
-1.949951,4.133169e-19,-8.838682e-19
-1.949707,4.035329e-19,-8.272215e-19
-1.949463,3.949954e-19,-7.736005e-19
-1.949219,4.545952e-19,-7.553391e-19
-1.948975,4.404513e-19,-7.512422e-19
-1.948730,3.919424e-19,-7.601737e-19
-1.948486,4.422023e-19,-8.014345e-19
-1.948242,4.567749e-19,-8.405181e-19
-1.947998,4.409902e-19,-8.295396e-19
-1.947754,4.437166e-19,-7.738779e-19
-1.947510,4.254633e-19,-7.189508e-19
-1.947266,4.684528e-19,-6.969289e-19
-1.947021,4.868178e-19,-6.980696e-19
-1.946777,4.271951e-19,-7.116015e-19
-1.946533,4.543070e-19,-7.498039e-19
-1.946289,4.934892e-19,-7.883616e-19
-1.946045,4.692041e-19,-7.795966e-19
-1.945801,4.719883e-19,-7.244686e-19
-1.945557,4.628830e-19,-6.636706e-19
-1.945312,4.799062e-19,-6.389287e-19
-1.945068,5.208207e-19,-6.465770e-19
-1.944824,4.718376e-19,-6.625866e-19
-1.944580,4.654804e-19,-7.009183e-19
-1.944336,5.181145e-19,-7.418874e-19
-1.944092,5.011637e-19,-7.322131e-19
-1.943848,4.954301e-19,-6.763183e-19
-1.943604,4.944169e-19,-6.149663e-19
-1.943359,4.916265e-19,-5.875787e-19
-1.943115,5.396904e-19,-5.964817e-19
-1.942871,5.167862e-19,-6.169913e-19
-1.942627,4.798153e-19,-6.532065e-19
-1.942383,5.327513e-19,-6.939242e-19
-1.942139,5.366178e-19,-6.889350e-19
-1.941895,5.147824e-19,-6.306985e-19
-1.941650,5.211325e-19,-5.688019e-19
-1.941406,5.127826e-19,-5.397088e-19
-1.941162,5.484288e-19,-5.504301e-19
-1.940918,5.521162e-19,-5.783220e-19
-1.940674,5.024740e-19,-6.125176e-19
-1.940430,5.346580e-19,-6.532131e-19
-1.940186,5.637306e-19,-6.487682e-19
-1.939941,5.374791e-19,-5.909119e-19
-1.939697,5.378123e-19,-5.283624e-19
-1.939453,5.358571e-19,-4.937702e-19
-1.939209,5.540322e-19,-5.064163e-19
-1.938965,5.781448e-19,-5.400399e-19
-1.938721,5.321760e-19,-5.741754e-19
-1.938477,5.333163e-19,-6.116162e-19
-1.938232,5.823024e-19,-6.130932e-19
-1.937988,5.603436e-19,-5.575112e-19
-1.937744,5.491612e-19,-4.894823e-19
-1.937500,5.549429e-19,-4.557538e-19
-1.937256,5.578457e-19,-4.690264e-19
-1.937012,5.897203e-19,-5.075490e-19
-1.936768,5.622767e-19,-5.422804e-19
-1.936523,5.400763e-19,-5.741314e-19
-1.936279,5.866002e-19,-5.801551e-19
-1.936035,5.834599e-19,-5.278910e-19
-1.935791,5.607269e-19,-4.566896e-19
-1.935547,5.657629e-19,-4.201277e-19
-1.935303,5.683337e-19,-4.348220e-19
-1.935059,5.923038e-19,-4.797521e-19
-1.934814,5.841769e-19,-5.167173e-19
-1.934570,5.483040e-19,-5.452733e-19
-1.934326,5.804811e-19,-5.546544e-19
-1.934082,6.008968e-19,-5.034799e-19
-1.933838,5.722258e-19,-4.275384e-19
-1.933594,5.716938e-19,-3.923575e-19
-1.933350,5.753635e-19,-4.061897e-19
-1.933105,5.927649e-19,-4.534163e-19
-1.932861,5.992260e-19,-4.924832e-19
-1.932617,5.599626e-19,-5.178174e-19
-1.932373,5.747551e-19,-5.315938e-19
-1.932129,6.059867e-19,-4.859102e-19
-1.931885,5.824558e-19,-4.066237e-19
-1.931641,5.732416e-19,-3.682954e-19
-1.931396,5.768653e-19,-3.860894e-19
-1.931152,5.885436e-19,-4.335624e-19
-1.930908,6.037326e-19,-4.748036e-19
-1.930664,5.717648e-19,-4.995285e-19
-1.930420,5.654340e-19,-5.100294e-19
-1.930176,6.031903e-19,-4.722670e-19
-1.929932,5.939547e-19,-3.920348e-19
-1.929688,5.735313e-19,-3.489096e-19
-1.929443,5.747797e-19,-3.700160e-19
-1.929199,5.837357e-19,-4.200568e-19
-1.928955,6.026414e-19,-4.650291e-19
-1.928711,5.797014e-19,-4.871467e-19
-1.928467,5.574614e-19,-4.963550e-19
-1.928223,5.909011e-19,-4.659147e-19
-1.927979,5.964259e-19,-3.830707e-19
-1.927734,5.717840e-19,-3.362603e-19
-1.927490,5.688547e-19,-3.602903e-19
-1.927246,5.771992e-19,-4.110551e-19
-1.927002,5.954117e-19,-4.573723e-19
-1.926758,5.832097e-19,-4.793223e-19
-1.926514,5.517773e-19,-4.888047e-19
-1.926270,5.752317e-19,-4.630152e-19
-1.926025,5.922223e-19,-3.843113e-19
-1.925781,5.693851e-19,-3.321653e-19
-1.925537,5.605194e-19,-3.549491e-19
-1.925293,5.621804e-19,-4.126424e-19
