tempo_s,strain_H1,strain_L1
-1.246338,-7.680696e-20,-8.669089e-19
-1.246094,-8.593184e-20,-8.108266e-19
-1.245850,-8.242779e-20,-7.871468e-19
-1.245605,-6.075758e-20,-7.822274e-19
-1.245361,-8.360919e-20,-7.523613e-19
-1.245117,-7.712231e-20,-7.272340e-19
-1.244873,-5.627278e-20,-7.662600e-19
-1.244629,-7.172848e-20,-8.333339e-19
-1.244385,-6.168557e-20,-8.284823e-19
-1.244141,-5.977658e-20,-7.698861e-19
-1.243896,-6.636918e-20,-7.434116e-19
-1.243652,-4.104677e-20,-7.434994e-19
-1.243408,-5.229918e-20,-7.182968e-19
-1.243164,-6.064207e-20,-6.905490e-19
-1.242920,-3.471269e-20,-7.273952e-19
-1.242676,-4.451606e-20,-7.948045e-19
-1.242432,-4.712973e-20,-7.923949e-19
-1.242188,-3.451902e-20,-7.302285e-19
-1.241943,-4.332757e-20,-7.003731e-19
-1.241699,-2.644824e-20,-7.067743e-19
-1.241455,-2.503260e-20,-6.864196e-19
-1.241211,-4.279557e-20,-6.581363e-19
-1.240967,-1.845760e-20,-6.918605e-19
-1.240723,-1.426357e-20,-7.604473e-19
-1.240479,-2.782069e-20,-7.618752e-19
-1.240234,-1.534945e-20,-6.969258e-19
-1.239990,-1.744175e-20,-6.639796e-19
-1.239746,-8.526128e-21,-6.734989e-19
-1.239502,1.022075e-21,-6.572196e-19
-1.239258,-2.000744e-20,-6.288615e-19
-1.239014,-4.102250e-21,-6.589150e-19
-1.238770,1.163031e-20,-7.260978e-19
-1.238525,-6.440993e-21,-7.329977e-19
-1.238281,1.001615e-21,-6.667983e-19
-1.238037,6.156896e-21,-6.292171e-19
-1.237793,9.787276e-21,-6.435287e-19
-1.237549,2.363224e-20,-6.329136e-19
-1.237305,5.719917e-21,-6.055277e-19
-1.237061,1.264349e-20,-6.303326e-19
-1.236816,3.528870e-20,-6.966932e-19
-1.236572,1.759281e-20,-7.083870e-19
-1.236328,1.911712e-20,-6.397896e-19
-1.236084,3.010702e-20,-5.984688e-19
-1.235840,2.861852e-20,-6.176819e-19
-1.235596,4.300350e-20,-6.137576e-19
-1.235352,3.149749e-20,-5.846653e-19
-1.235107,2.564174e-20,-6.069098e-19
-1.234863,5.637891e-20,-6.727645e-19
-1.234619,4.612796e-20,-6.863768e-19
-1.234375,3.404416e-20,-6.208862e-19
-1.234131,5.329810e-20,-5.734816e-19
-1.233887,5.004428e-20,-5.943134e-19
-1.233643,5.923058e-20,-5.990172e-19
-1.233398,6.082043e-20,-5.674466e-19
-1.233154,4.305051e-20,-5.854075e-19
-1.232910,7.058799e-20,-6.496416e-19
-1.232666,7.406031e-20,-6.667730e-19
-1.232422,5.100866e-20,-6.026488e-19
-1.232178,6.856321e-20,-5.510126e-19
-1.231934,7.404394e-20,-5.748039e-19
-1.231689,7.533894e-20,-5.871993e-19
-1.231445,8.207001e-20,-5.584687e-19
-1.231201,6.475543e-20,-5.704524e-19
-1.230957,8.368279e-20,-6.316001e-19
-1.230713,1.012375e-19,-6.521930e-19
-1.230469,7.302819e-20,-5.891501e-19
-1.230225,8.165460e-20,-5.343218e-19
-1.229980,9.798106e-20,-5.583289e-19
-1.229736,9.319593e-20,-5.800232e-19
-1.229492,1.022413e-19,-5.516055e-19
-1.229248,8.836545e-20,-5.591338e-19
-1.229004,9.312394e-20,-6.209258e-19
-1.228760,1.219907e-19,-6.396060e-19
-1.228516,9.888992e-20,-5.805432e-19
-1.228271,9.366346e-20,-5.269044e-19
-1.228027,1.190372e-19,-5.474437e-19
-1.227783,1.137247e-19,-5.750991e-19
-1.227539,1.184393e-19,-5.497814e-19
-1.227295,1.143735e-19,-5.517002e-19
-1.227051,1.057777e-19,-6.106497e-19
-1.226807,1.381072e-19,-6.321965e-19
-1.226562,1.269236e-19,-5.742802e-19
-1.226318,1.035460e-19,-5.186955e-19
-1.226074,1.354546e-19,-5.416907e-19
-1.225830,1.381885e-19,-5.771823e-19
-1.225586,1.311260e-19,-5.545646e-19
-1.225342,1.371188e-19,-5.511469e-19
-1.225098,1.248190e-19,-6.074284e-19
-1.224854,1.493470e-19,-6.296236e-19
-1.224609,1.572131e-19,-5.736731e-19
-1.224365,1.235207e-19,-5.179271e-19
-1.224121,1.441537e-19,-5.383369e-19
-1.223877,1.621491e-19,-5.803275e-19
-1.223633,1.480666e-19,-5.627614e-19
-1.223389,1.547275e-19,-5.536368e-19
-1.223145,1.474071e-19,-6.086567e-19
-1.222900,1.560040e-19,-6.318887e-19
-1.222656,1.810526e-19,-5.761424e-19
-1.222412,1.508194e-19,-5.232249e-19
-1.222168,1.499690e-19,-5.431598e-19
-1.221924,1.862292e-19,-5.887897e-19
-1.221680,1.716941e-19,-5.754570e-19
-1.221436,1.666108e-19,-5.611104e-19
-1.221191,1.719872e-19,-6.123024e-19
-1.220947,1.685173e-19,-6.363710e-19
-1.220703,1.949256e-19,-5.817057e-19
-1.220459,1.788680e-19,-5.307052e-19
-1.220215,1.577891e-19,-5.505688e-19
-1.219971,1.980382e-19,-5.984680e-19
-1.219727,1.972311e-19,-5.932421e-19
-1.219482,1.791777e-19,-5.765070e-19
-1.219238,1.908133e-19,-6.200594e-19
-1.218994,1.871580e-19,-6.474995e-19
-1.218750,2.047787e-19,-5.944329e-19
-1.218506,2.052291e-19,-5.414424e-19
-1.218262,1.737684e-19,-5.616060e-19
-1.218018,2.036640e-19,-6.126448e-19
-1.217773,2.218614e-19,-6.147208e-19
-1.217529,1.938889e-19,-5.945662e-19
-1.217285,2.001978e-19,-6.297368e-19
-1.217041,2.060605e-19,-6.605724e-19
-1.216797,2.127978e-19,-6.107155e-19
-1.216553,2.253434e-19,-5.575336e-19
-1.216309,1.959396e-19,-5.797701e-19
-1.216064,2.039112e-19,-6.330203e-19
-1.215820,2.408149e-19,-6.378146e-19
-1.215576,2.173010e-19,-6.154908e-19
-1.215332,2.063032e-19,-6.449020e-19
-1.215088,2.222282e-19,-6.773069e-19
-1.214844,2.231187e-19,-6.302930e-19
-1.214600,2.348884e-19,-5.754093e-19
-1.214355,2.182826e-19,-5.986224e-19
-1.214111,2.063877e-19,-6.562480e-19
-1.213867,2.469168e-19,-6.667542e-19
-1.213623,2.417452e-19,-6.440094e-19
-1.213379,2.133040e-19,-6.672323e-19
-1.213135,2.311940e-19,-7.003273e-19
-1.212891,2.405941e-19,-6.541330e-19
-1.212646,2.414868e-19,-5.990566e-19
-1.212402,2.359858e-19,-6.249512e-19
-1.212158,2.180068e-19,-6.823754e-19
-1.211914,2.453966e-19,-6.961941e-19
-1.211670,2.612538e-19,-6.738650e-19
-1.211426,2.271284e-19,-6.905941e-19
-1.211182,2.318109e-19,-7.223831e-19
-1.210938,2.538042e-19,-6.810598e-19
-1.210693,2.496116e-19,-6.277209e-19
-1.210449,2.464473e-19,-6.524361e-19
-1.210205,2.325590e-19,-7.150117e-19
-1.209961,2.438398e-19,-7.334856e-19
-1.209717,2.726694e-19,-7.087185e-19
-1.209473,2.454954e-19,-7.187743e-19
-1.209229,2.309928e-19,-7.493184e-19
-1.208984,2.605359e-19,-7.134091e-19
-1.208740,2.613839e-19,-6.580805e-19
-1.208496,2.514502e-19,-6.815868e-19
-1.208252,2.456443e-19,-7.488962e-19
-1.208008,2.453581e-19,-7.716341e-19
-1.207764,2.742713e-19,-7.484303e-19
-1.207520,2.662917e-19,-7.523241e-19
-1.207275,2.344708e-19,-7.814123e-19
-1.207031,2.603956e-19,-7.502323e-19
-1.206787,2.773735e-19,-6.938051e-19
-1.206543,2.579043e-19,-7.175952e-19
-1.206299,2.535682e-19,-7.875430e-19
-1.206055,2.525161e-19,-8.108511e-19
-1.205811,2.726028e-19,-7.891201e-19
-1.205566,2.818954e-19,-7.871678e-19
-1.205322,2.446591e-19,-8.109223e-19
-1.205078,2.524087e-19,-7.880796e-19
-1.204834,2.857004e-19,-7.337419e-19
-1.204590,2.695742e-19,-7.532375e-19
-1.204346,2.556551e-19,-8.265557e-19
-1.204102,2.613741e-19,-8.528687e-19
-1.203857,2.735595e-19,-8.328906e-19
-1.203613,2.870000e-19,-8.254267e-19
-1.203369,2.617996e-19,-8.438071e-19
-1.203125,2.486162e-19,-8.268838e-19
-1.202881,2.853447e-19,-7.742826e-19
-1.202637,2.838865e-19,-7.907658e-19
-1.202393,2.562095e-19,-8.660633e-19
-1.202148,2.652537e-19,-8.982287e-19
-1.201904,2.766512e-19,-8.774973e-19
-1.201660,2.869752e-19,-8.661213e-19
-1.201416,2.770943e-19,-8.829785e-19
-1.201172,2.499281e-19,-8.673423e-19
-1.200928,2.796442e-19,-8.182390e-19
-1.200684,2.998014e-19,-8.317291e-19
-1.200439,2.623476e-19,-9.070298e-19
-1.200195,2.610775e-19,-9.429567e-19
-1.199951,2.812628e-19,-9.231599e-19
-1.199707,2.861459e-19,-9.068826e-19
-1.199463,2.849458e-19,-9.172657e-19
-1.199219,2.576334e-19,-9.080560e-19
-1.198975,2.674079e-19,-8.629995e-19
-1.198730,3.042987e-19,-8.730476e-19
-1.198486,2.762958e-19,-9.485822e-19
-1.198242,2.564799e-19,-9.883747e-19
-1.197998,2.838472e-19,-9.710084e-19
-1.197754,2.889970e-19,-9.510153e-19
-1.197510,2.847913e-19,-9.555365e-19
-1.197266,2.702694e-19,-9.485806e-19
-1.197021,2.617687e-19,-9.103031e-19
-1.196777,2.975951e-19,-9.153133e-19
-1.196533,2.913604e-19,-9.914295e-19
-1.196289,2.529391e-19,-1.035270e-18
-1.196045,2.785950e-19,-1.015823e-18
-1.195801,2.960465e-19,-9.966496e-19
-1.195557,2.812648e-19,-9.956490e-19
-1.195312,2.771759e-19,-9.900039e-19
-1.195068,2.622934e-19,-9.579203e-19
-1.194824,2.860982e-19,-9.597721e-19
-1.194580,3.046174e-19,-1.032718e-18
-1.194336,2.582491e-19,-1.081234e-18
-1.194092,2.642496e-19,-1.062967e-18
-1.193848,2.990219e-19,-1.037796e-18
-1.193604,2.839041e-19,-1.035502e-18
-1.193359,2.760230e-19,-1.029198e-18
-1.193115,2.673967e-19,-1.003459e-18
-1.192871,2.753766e-19,-1.006794e-18
-1.192627,3.055624e-19,-1.073661e-18
-1.192383,2.709992e-19,-1.127313e-18
-1.192139,2.522143e-19,-1.110821e-18
-1.191895,2.979621e-19,-1.082784e-18
-1.191650,2.910298e-19,-1.077228e-18
-1.191406,2.695271e-19,-1.067534e-18
-1.191162,2.709840e-19,-1.048624e-18
-1.190918,2.683595e-19,-1.054405e-18
-1.190674,2.978683e-19,-1.114930e-18
-1.190430,2.834930e-19,-1.170969e-18
-1.190186,2.449300e-19,-1.157909e-18
-1.189941,2.840339e-19,-1.126375e-18
-1.189697,2.993920e-19,-1.118442e-18
-1.189453,2.682355e-19,-1.109481e-18
-1.189209,2.674102e-19,-1.095648e-18
-1.188965,2.690351e-19,-1.102622e-18
-1.188721,2.860558e-19,-1.155501e-18
-1.188477,2.914781e-19,-1.213220e-18
-1.188232,2.473108e-19,-1.204821e-18
-1.187988,2.646491e-19,-1.168322e-18
-1.187744,3.028480e-19,-1.156688e-18
-1.187500,2.685545e-19,-1.149242e-18
-1.187256,2.581745e-19,-1.137862e-18
-1.187012,2.690743e-19,-1.146854e-18
-1.186768,2.737287e-19,-1.199459e-18
-1.186523,2.907724e-19,-1.256343e-18
-1.186279,2.560739e-19,-1.252010e-18
-1.186035,2.459223e-19,-1.212481e-18
-1.185791,2.953285e-19,-1.195251e-18
-1.185547,2.772439e-19,-1.190340e-18
-1.185303,2.480659e-19,-1.182711e-18
-1.185059,2.628463e-19,-1.193900e-18
-1.184814,2.663904e-19,-1.239169e-18
-1.184570,2.792650e-19,-1.293518e-18
-1.184326,2.614342e-19,-1.295343e-18
-1.184082,2.340634e-19,-1.254641e-18
-1.183838,2.766130e-19,-1.234308e-18
-1.183594,2.831654e-19,-1.228245e-18
-1.183350,2.406008e-19,-1.224674e-18
-1.183105,2.501425e-19,-1.239297e-18
-1.182861,2.618055e-19,-1.282977e-18
-1.182617,2.644873e-19,-1.333315e-18
-1.182373,2.640862e-19,-1.333485e-18
-1.182129,2.275195e-19,-1.294971e-18
-1.181885,2.495724e-19,-1.270471e-18
-1.181641,2.839679e-19,-1.264999e-18
-1.181396,2.392484e-19,-1.264786e-18
-1.181152,2.308805e-19,-1.279178e-18
-1.180908,2.532931e-19,-1.324120e-18
-1.180664,2.533098e-19,-1.371081e-18
-1.180420,2.567987e-19,-1.374567e-18
-1.180176,2.259144e-19,-1.338006e-18
-1.179932,2.273579e-19,-1.308064e-18
-1.179688,2.722247e-19,-1.301658e-18
-1.179443,2.424354e-19,-1.303622e-18
-1.179199,2.125637e-19,-1.321639e-18
-1.178955,2.384176e-19,-1.362344e-18
-1.178711,2.430783e-19,-1.403990e-18
-1.178467,2.405215e-19,-1.411100e-18
-1.178223,2.225109e-19,-1.375108e-18
-1.177979,2.075691e-19,-1.340620e-18
-1.177734,2.507702e-19,-1.335423e-18
-1.177490,2.441232e-19,-1.341267e-18
-1.177246,1.977788e-19,-1.362307e-18
-1.177002,2.186803e-19,-1.401933e-18
-1.176758,2.338890e-19,-1.436622e-18
-1.176514,2.265585e-19,-1.445177e-18
-1.176270,2.174657e-19,-1.411107e-18
-1.176025,1.927768e-19,-1.372081e-18
-1.175781,2.234749e-19,-1.366349e-18
-1.175537,2.417490e-19,-1.375376e-18
-1.175293,1.894716e-19,-1.398579e-18
-1.175049,1.926752e-19,-1.435207e-18
-1.174805,2.225739e-19,-1.468776e-18
-1.174561,2.128586e-19,-1.477183e-18
-1.174316,2.050767e-19,-1.444049e-18
-1.174072,1.847991e-19,-1.405242e-18
-1.173828,1.959163e-19,-1.396237e-18
-1.173584,2.302080e-19,-1.409058e-18
-1.173340,1.911617e-19,-1.434268e-18
-1.173096,1.693462e-19,-1.467232e-18
-1.172852,2.043146e-19,-1.496428e-18
-1.172607,2.039463e-19,-1.502998e-18
-1.172363,1.893008e-19,-1.472575e-18
-1.172119,1.750915e-19,-1.430386e-18
-1.171875,1.760731e-19,-1.421400e-18
-1.171631,2.112555e-19,-1.440889e-18
-1.171387,1.892856e-19,-1.464568e-18
-1.171143,1.515963e-19,-1.496424e-18
-1.170898,1.832327e-19,-1.523677e-18
-1.170654,1.939709e-19,-1.526389e-18
-1.170410,1.750437e-19,-1.499004e-18
-1.170166,1.651031e-19,-1.454935e-18
-1.169922,1.563996e-19,-1.441010e-18
-1.169678,1.866013e-19,-1.464943e-18
-1.169434,1.856495e-19,-1.492964e-18
-1.169189,1.379961e-19,-1.520384e-18
-1.168945,1.547233e-19,-1.544242e-18
-1.168701,1.805052e-19,-1.547566e-18
-1.168457,1.639319e-19,-1.521055e-18
-1.168213,1.499722e-19,-1.476616e-18
-1.167969,1.404113e-19,-1.460500e-18
-1.167725,1.623194e-19,-1.488135e-18
-1.167480,1.771178e-19,-1.517670e-18
-1.167236,1.305531e-19,-1.541516e-18
-1.166992,1.262637e-19,-1.563650e-18
-1.166748,1.629615e-19,-1.562523e-18
-1.166504,1.515102e-19,-1.535823e-18
-1.166260,1.331727e-19,-1.492935e-18
-1.166016,1.249219e-19,-1.474333e-18
-1.165771,1.355584e-19,-1.503663e-18
-1.165527,1.598136e-19,-1.537743e-18
-1.165283,1.257272e-19,-1.559815e-18
-1.165039,1.025047e-19,-1.575998e-18
-1.164795,1.382795e-19,-1.574869e-18
-1.164551,1.402397e-19,-1.548933e-18
-1.164307,1.175673e-19,-1.503255e-18
-1.164062,1.066544e-19,-1.484895e-18
-1.163818,1.108463e-19,-1.516643e-18
-1.163574,1.376350e-19,-1.552512e-18
-1.163330,1.190909e-19,-1.572208e-18
-1.163086,7.993841e-20,-1.585116e-18
-1.162842,1.092594e-19,-1.583365e-18
-1.162598,1.263801e-19,-1.556962e-18
-1.162354,1.001028e-19,-1.512733e-18
-1.162109,8.974085e-20,-1.492617e-18
-1.161865,8.837393e-20,-1.523687e-18
-1.161621,1.108036e-19,-1.565642e-18
-1.161377,1.104985e-19,-1.582966e-18
-1.161133,6.332476e-20,-1.589356e-18
-1.160889,7.655329e-20,-1.585618e-18
-1.160645,1.081381e-19,-1.559434e-18
-1.160400,8.483165e-20,-1.517061e-18
-1.160156,6.827838e-20,-1.492374e-18
-1.159912,6.563354e-20,-1.525054e-18
-1.159668,8.197899e-20,-1.574487e-18
-1.159424,9.533800e-20,-1.587294e-18
-1.159180,5.048731e-20,-1.589083e-18
-1.158936,4.554885e-20,-1.585922e-18
-1.158691,8.704957e-20,-1.559127e-18
-1.158447,6.941186e-20,-1.518444e-18
-1.158203,4.830560e-20,-1.492389e-18
-1.157959,4.582688e-20,-1.522621e-18
-1.157715,5.269901e-20,-1.576458e-18
-1.157471,7.489813e-20,-1.590091e-18
-1.157227,4.085750e-20,-1.584760e-18
-1.156982,1.454163e-20,-1.580032e-18
-1.156738,5.733814e-20,-1.555487e-18
-1.156494,5.699689e-20,-1.512735e-18
-1.156250,2.512030e-20,-1.489208e-18
-1.156006,2.362741e-20,-1.518959e-18
-1.155762,2.940316e-20,-1.572928e-18
-1.155518,4.940145e-20,-1.590897e-18
-1.155273,3.161484e-20,-1.577305e-18
-1.155029,-9.823800e-21,-1.569431e-18
-1.154785,2.381896e-20,-1.546262e-18
-1.154541,4.267570e-20,-1.502173e-18
-1.154297,4.025556e-21,-1.479802e-18
-1.154053,-2.809774e-21,-1.508780e-18
-1.153809,4.809132e-21,-1.567045e-18
-1.153564,1.772954e-20,-1.584901e-18
-1.153320,1.768285e-20,-1.566550e-18
-1.153076,-2.525891e-20,-1.556949e-18
-1.152832,-1.588563e-20,-1.533846e-18
-1.152588,2.308019e-20,-1.491820e-18
-1.152344,-1.004806e-20,-1.469371e-18
-1.152100,-3.068792e-20,-1.494560e-18
-1.151855,-1.742738e-20,-1.554131e-18
-1.151611,-1.139904e-20,-1.576800e-18
-1.151367,-2.744578e-21,-1.551720e-18
-1.151123,-3.991032e-20,-1.536966e-18
-1.150879,-5.192694e-20,-1.517574e-18
-1.150635,-4.032406e-21,-1.475971e-18
-1.150391,-2.223552e-20,-1.451395e-18
-1.150146,-5.486116e-20,-1.475988e-18
-1.149902,-4.449366e-20,-1.537402e-18
-1.149658,-3.809822e-20,-1.562361e-18
-1.149414,-2.609129e-20,-1.533365e-18
-1.149170,-5.206364e-20,-1.511314e-18
-1.148926,-8.196649e-20,-1.494449e-18
-1.148682,-3.949637e-20,-1.453531e-18
-1.148438,-3.368538e-20,-1.427992e-18
-1.148193,-7.868482e-20,-1.456007e-18
-1.147949,-7.399764e-20,-1.514746e-18
-1.147705,-5.958764e-20,-1.541576e-18
-1.147461,-5.532684e-20,-1.513308e-18
-1.147217,-6.638260e-20,-1.486317e-18
-1.146973,-1.017105e-19,-1.468625e-18
-1.146729,-7.797037e-20,-1.429073e-18
-1.146484,-4.941218e-20,-1.405541e-18
-1.146240,-9.371211e-20,-1.431684e-18
-1.145996,-1.047749e-19,-1.487732e-18
-1.145752,-8.210150e-20,-1.517867e-18
-1.145508,-8.030806e-20,-1.486807e-18
-1.145264,-8.678214e-20,-1.452582e-18
-1.145020,-1.188870e-19,-1.438839e-18
-1.144775,-1.134407e-19,-1.400342e-18
-1.144531,-7.306543e-20,-1.373617e-18
-1.144287,-1.023816e-19,-1.402539e-18
-1.144043,-1.338120e-19,-1.457978e-18
-1.143799,-1.103335e-19,-1.488718e-18
-1.143555,-1.005696e-19,-1.458888e-18
-1.143311,-1.068075e-19,-1.418137e-18
-1.143066,-1.326981e-19,-1.402107e-18
-1.142822,-1.443873e-19,-1.369020e-18
-1.142578,-1.034584e-19,-1.340611e-18
-1.142334,-1.115232e-19,-1.366393e-18
-1.142090,-1.552973e-19,-1.423980e-18
-1.141846,-1.387137e-19,-1.454439e-18
-1.141602,-1.206862e-19,-1.425314e-18
-1.141357,-1.275288e-19,-1.382270e-18
-1.141113,-1.453467e-19,-1.363577e-18
-1.140869,-1.641207e-19,-1.334059e-18
-1.140625,-1.328253e-19,-1.305826e-18
-1.140381,-1.213915e-19,-1.330345e-18
-1.140137,-1.677900e-19,-1.386847e-18
-1.139893,-1.682092e-19,-1.416610e-18
-1.139648,-1.398130e-19,-1.389372e-18
-1.139404,-1.442513e-19,-1.340685e-18
-1.139160,-1.631151e-19,-1.319621e-18
-1.138916,-1.819013e-19,-1.294804e-18
-1.138672,-1.626615e-19,-1.266067e-18
-1.138428,-1.377210e-19,-1.290601e-18
-1.138184,-1.749992e-19,-1.346622e-18
-1.137939,-1.926466e-19,-1.375369e-18
-1.137695,-1.611547e-19,-1.349313e-18
-1.137451,-1.581218e-19,-1.298157e-18
-1.137207,-1.758314e-19,-1.273320e-18
-1.136963,-1.978067e-19,-1.250700e-18
-1.136719,-1.888554e-19,-1.223636e-18
-1.136475,-1.555630e-19,-1.245037e-18
-1.136230,-1.822724e-19,-1.301783e-18
-1.135986,-2.140066e-19,-1.330401e-18
-1.135742,-1.866318e-19,-1.304309e-18
-1.135498,-1.698940e-19,-1.253853e-18
-1.135254,-1.888534e-19,-1.224587e-18
-1.135010,-2.111380e-19,-1.205251e-18
-1.134766,-2.083358e-19,-1.181593e-18
-1.134521,-1.771942e-19,-1.199251e-18
-1.134277,-1.853819e-19,-1.254997e-18
-1.134033,-2.269040e-19,-1.282040e-18
-1.133789,-2.128770e-19,-1.256448e-18
-1.133545,-1.846687e-19,-1.206550e-18
-1.133301,-2.003858e-19,-1.173409e-18
-1.133057,-2.235114e-19,-1.155386e-18
-1.132812,-2.285613e-19,-1.134981e-18
-1.132568,-1.995829e-19,-1.151089e-18
-1.132324,-1.932379e-19,-1.205472e-18
-1.132080,-2.361959e-19,-1.232548e-18
-1.131836,-2.338630e-19,-1.207985e-18
-1.131592,-2.018029e-19,-1.158520e-18
-1.131348,-2.095797e-19,-1.122399e-18
-1.131104,-2.336645e-19,-1.104349e-18
-1.130859,-2.451427e-19,-1.087990e-18
-1.130615,-2.216141e-19,-1.102587e-18
-1.130371,-2.043159e-19,-1.154010e-18
-1.130127,-2.421373e-19,-1.181217e-18
-1.129883,-2.553301e-19,-1.156536e-18
-1.129639,-2.220148e-19,-1.108272e-18
-1.129395,-2.178631e-19,-1.073189e-18
-1.129150,-2.420057e-19,-1.057087e-18
-1.128906,-2.583479e-19,-1.041131e-18
-1.128662,-2.413051e-19,-1.053966e-18
-1.128418,-2.156482e-19,-1.104961e-18
-1.128174,-2.436499e-19,-1.131389e-18
-1.127930,-2.704311e-19,-1.106684e-18
-1.127686,-2.417016e-19,-1.057416e-18
-1.127441,-2.270235e-19,-1.021243e-18
-1.127197,-2.508743e-19,-1.005564e-18
-1.126953,-2.701037e-19,-9.928752e-19
-1.126709,-2.596004e-19,-1.006755e-18
-1.126465,-2.308186e-19,-1.055386e-18
-1.126221,-2.455944e-19,-1.081096e-18
-1.125977,-2.817810e-19,-1.055198e-18
-1.125732,-2.605032e-19,-1.010599e-18
-1.125488,-2.352388e-19,-9.737470e-19
-1.125244,-2.556371e-19,-9.552506e-19
-1.125000,-2.784113e-19,-9.496598e-19
-1.124756,-2.743114e-19,-9.608662e-19
-1.124512,-2.464568e-19,-1.005539e-18
-1.124268,-2.467396e-19,-1.032640e-18
-1.124023,-2.859618e-19,-1.005296e-18
-1.123779,-2.803003e-19,-9.616824e-19
-1.123535,-2.469806e-19,-9.285910e-19
-1.123291,-2.573313e-19,-9.109454e-19
-1.123047,-2.811561e-19,-9.045269e-19
-1.122803,-2.849050e-19,-9.189160e-19
-1.122559,-2.599214e-19,-9.604962e-19
-1.122314,-2.469696e-19,-9.844503e-19
-1.122070,-2.858750e-19,-9.593761e-19
-1.121826,-2.932873e-19,-9.153856e-19
-1.121582,-2.565992e-19,-8.831777e-19
-1.121338,-2.578137e-19,-8.658066e-19
-1.121094,-2.839887e-19,-8.606716e-19
-1.120850,-2.940475e-19,-8.758926e-19
-1.120605,-2.717378e-19,-9.155594e-19
-1.120361,-2.495721e-19,-9.380048e-19
-1.120117,-2.816176e-19,-9.136215e-19
-1.119873,-3.020203e-19,-8.732823e-19
-1.119629,-2.649688e-19,-8.419250e-19
-1.119385,-2.555950e-19,-8.245262e-19
-1.119141,-2.833388e-19,-8.223959e-19
-1.118896,-2.949256e-19,-8.376534e-19
-1.118652,-2.797236e-19,-8.725151e-19
-1.118408,-2.547894e-19,-8.934346e-19
-1.118164,-2.717854e-19,-8.694800e-19
-1.117920,-3.038554e-19,-8.301628e-19
-1.117676,-2.770277e-19,-8.028172e-19
-1.117432,-2.538580e-19,-7.855511e-19
-1.117188,-2.793612e-19,-7.858814e-19
-1.116943,-2.951910e-19,-8.038927e-19
-1.116699,-2.837463e-19,-8.345845e-19
-1.116455,-2.575985e-19,-8.533997e-19
-1.116211,-2.624566e-19,-8.308699e-19
-1.115967,-2.999726e-19,-7.915570e-19
-1.115723,-2.857819e-19,-7.650949e-19
-1.115479,-2.507346e-19,-7.502620e-19
-1.115234,-2.707503e-19,-7.497641e-19
-1.114990,-2.926798e-19,-7.696473e-19
-1.114746,-2.836855e-19,-7.995278e-19
-1.114502,-2.621907e-19,-8.138769e-19
-1.114258,-2.548800e-19,-7.953577e-19
-1.114014,-2.875402e-19,-7.574898e-19
-1.113770,-2.912108e-19,-7.315292e-19
-1.113525,-2.505733e-19,-7.214122e-19
-1.113281,-2.567549e-19,-7.205428e-19
-1.113037,-2.869869e-19,-7.411512e-19
-1.112793,-2.824445e-19,-7.699676e-19
-1.112549,-2.607169e-19,-7.790289e-19
-1.112305,-2.473377e-19,-7.604734e-19
-1.112061,-2.739365e-19,-7.256028e-19
-1.111816,-2.916013e-19,-7.021664e-19
-1.111572,-2.516363e-19,-6.933114e-19
-1.111328,-2.429381e-19,-6.954195e-19
-1.111084,-2.755893e-19,-7.176883e-19
-1.110840,-2.776573e-19,-7.422995e-19
-1.110596,-2.569008e-19,-7.488319e-19
-1.110352,-2.391520e-19,-7.310343e-19
-1.110107,-2.571469e-19,-6.991112e-19
-1.109863,-2.838800e-19,-6.770150e-19
-1.109619,-2.528289e-19,-6.681196e-19
-1.109375,-2.286903e-19,-6.737990e-19
-1.109131,-2.617513e-19,-6.968819e-19
-1.108887,-2.724768e-19,-7.199613e-19
-1.108643,-2.486544e-19,-7.231768e-19
-1.108398,-2.328871e-19,-7.046081e-19
-1.108154,-2.409189e-19,-6.783610e-19
-1.107910,-2.676414e-19,-6.568218e-19
-1.107666,-2.523002e-19,-6.509681e-19
-1.107422,-2.170914e-19,-6.606480e-19
-1.107178,-2.397226e-19,-6.820655e-19
-1.106934,-2.628953e-19,-7.035549e-19
-1.106689,-2.407164e-19,-7.020403e-19
-1.106445,-2.211770e-19,-6.820664e-19
-1.106201,-2.254588e-19,-6.589252e-19
-1.105957,-2.504463e-19,-6.405889e-19
-1.105713,-2.460411e-19,-6.360604e-19
-1.105469,-2.069136e-19,-6.472320e-19
-1.105225,-2.172560e-19,-6.719706e-19
-1.104980,-2.479680e-19,-6.915977e-19
-1.104736,-2.334459e-19,-6.853966e-19
-1.104492,-2.092792e-19,-6.656579e-19
-1.104248,-2.070022e-19,-6.463448e-19
-1.104004,-2.304880e-19,-6.306562e-19
-1.103760,-2.355220e-19,-6.259589e-19
-1.103516,-2.011592e-19,-6.382604e-19
-1.103271,-1.965941e-19,-6.649153e-19
-1.103027,-2.272046e-19,-6.835782e-19
-1.102783,-2.256569e-19,-6.740068e-19
-1.102539,-1.962916e-19,-6.517434e-19
-1.102295,-1.890235e-19,-6.380187e-19
-1.102051,-2.087405e-19,-6.262169e-19
-1.101807,-2.210445e-19,-6.206837e-19
-1.101562,-1.935152e-19,-6.379238e-19
-1.101318,-1.754787e-19,-6.669301e-19
-1.101074,-2.044359e-19,-6.807315e-19
-1.100830,-2.135115e-19,-6.678461e-19
