supernova,z_CMB,modulo_distancia_mu,erro_mu
19775,0.13687,39.0095,0.2243
18602,0.13696,38.9616,0.2591
21062,0.13729,39.3511,0.2304
17366,0.13811,38.8857,0.1285
15171,0.13818,38.9503,0.1597
190340,0.13824,39.0229,0.1242
20084,0.13834,39.0401,0.3191
12928,0.13868,38.9999,0.1760
190230,0.13864,39.0467,0.1307
090275,0.13959,39.0213,0.1458
1794,0.14070,39.1775,0.1840
17208,0.14084,39.2835,0.2035
340229,0.14108,39.0407,0.2124
1317666,0.14120,39.1237,0.2609
2635,0.14311,39.0470,0.1606
17568,0.14335,39.5154,0.3706
190260,0.14344,39.1135,0.1295
17497,0.14388,39.0756,0.1706
8921,0.14410,39.0160,0.2410
17605,0.14533,39.1518,0.2102
1296657,0.14624,39.1857,0.2074
440008,0.14656,39.1580,0.1876
1316385,0.14741,39.0154,0.1975
13796,0.14729,38.9672,0.1718
14024,0.14759,39.1340,0.1888
180166,0.14757,39.1610,0.1702
1293758,0.14812,39.2285,0.1850
14437,0.14792,39.0382,0.1579
1255502,0.14819,39.0239,0.1427
13736,0.14882,39.1606,0.1749
2308,0.14923,39.1104,0.1752
000038,0.15036,39.1058,0.1700
460003,0.15067,39.1687,0.1341
2031,0.15186,39.0477,0.1588
18323,0.15272,39.3239,0.1732
15132,0.15304,39.2175,0.1278
18740,0.15317,39.0991,0.1599
19353,0.15325,39.2564,0.1794
16073,0.15339,39.3639,0.1755
5550,0.15493,39.2076,0.1679
16116,0.15509,39.2780,0.1578
18030,0.15518,39.3994,0.1759
19940,0.15591,38.9704,0.1792
13354,0.15654,39.2087,0.2103
16206,0.15838,39.0794,0.1637
440042,0.15906,39.4267,0.2837
14782,0.15922,38.9503,0.1439
15425,0.15935,39.0908,0.1430
1299775,0.16009,39.0428,0.2706
3317,0.15991,39.2286,0.1677
2689,0.16036,39.2057,0.2171
390627,0.16045,39.4242,0.2604
5103,0.16060,39.2162,0.2093
120336,0.16134,39.3106,0.2463
17825,0.16220,39.3252,0.2241
19174,0.16357,39.2807,0.2010
3087,0.16431,39.2634,0.1993
19616,0.16455,39.3293,0.1395
20764,0.16478,39.3182,0.1509
20430,0.16593,39.4938,0.2419
12843,0.16595,39.1817,0.1935
12853,0.16817,39.2757,0.1658
350233,0.16935,39.5155,0.1829
17389,0.16960,39.6721,0.2749
12856,0.17029,39.4742,0.1327
590005,0.17137,39.5424,0.2755
310039,0.17156,39.4603,0.2147
19282,0.17239,39.5021,0.1774
1303279,0.17274,39.2676,0.1523
100090,0.17282,39.7263,0.2526
3080,0.17315,39.3871,0.1318
15897,0.17357,39.5403,0.1832
120143,0.17360,39.3493,0.1515
15648,0.17383,39.5986,0.3185
14421,0.17400,39.5734,0.1371
16165,0.17405,39.3317,0.1543
5350,0.17431,39.5053,0.1840
15583,0.17427,39.5546,0.2310
19969,0.17428,39.4849,0.1626
18604,0.17483,39.7434,0.1820
14979,0.17654,39.5164,0.1355
17218,0.17697,39.5095,0.1756
14451,0.17729,39.4771,0.1383
17220,0.17769,39.3394,0.2574
370428,0.17780,39.6477,0.1315
5635,0.17839,39.9669,0.2079
6936,0.17890,39.6410,0.1573
300179,0.17896,39.7672,0.2015
13045,0.17916,39.5355,0.2298
1347120,0.17955,39.5509,0.2806
2372,0.17959,39.5519,0.1746
1303496,0.17979,39.5962,0.2089
13254,0.17990,39.9979,0.2681
14284,0.18037,39.3688,0.1376
420159,0.18059,39.5035,0.1337
330023,0.18064,39.7166,0.1792
350548,0.18067,39.6391,0.1340
360112,0.18071,39.6151,0.2462
17215,0.18080,39.6213,0.2080
370595,0.18138,39.6585,0.2260
15443,0.18123,39.4868,0.1341
1339392,0.18148,39.3953,0.2352
17332,0.18203,39.5863,0.2011
1580,0.18216,39.5259,0.1499
1250017,0.18217,39.6885,0.1524
15453,0.18243,39.7821,0.1773
17391,0.18345,39.5995,0.2942
1257695,0.18383,39.6800,0.1516
17168,0.18376,39.7520,0.1974
20048,0.18388,39.7960,0.2184
1296321,0.18444,39.9384,0.2825
15421,0.18443,39.7891,0.1427
8213,0.18468,39.6548,0.2768
15461,0.18482,39.6130,0.1349
1336453,0.18492,39.7435,0.1593
6422,0.18501,39.6347,0.1604
16281,0.18507,39.5427,0.1722
370563,0.18538,39.7882,0.1394
15365,0.18651,39.7559,0.1445
18807,0.18714,39.7694,0.1367
5994,0.18801,39.7451,0.1915
12927,0.18892,39.4384,0.1496
16100,0.18893,39.8089,0.2563
1273127,0.18937,39.9359,0.2290
18787,0.18915,40.1408,0.2005
18749,0.18931,39.7413,0.2092
440643,0.18955,39.7624,0.2386
6304,0.18979,39.7286,0.2247
762,0.19009,39.8807,0.1580
20687,0.19026,39.6892,0.2950
2440,0.19030,39.9182,0.1548
16276,0.19397,39.7983,0.2189
2246,0.19422,39.8787,0.2220
20821,0.19534,40.1343,0.4040
1253920,0.19556,39.7111,0.1566
14984,0.19549,39.9082,0.1959
15674,0.19555,39.9580,0.2123
000236,0.19602,39.7288,0.1248
15129,0.19611,39.7747,0.1580
1298893,0.19616,39.8397,0.2547
1334620,0.19624,39.8927,0.2934
13070,0.19719,39.8018,0.1416
18804,0.19726,39.6932,0.1309
1302058,0.19786,39.4920,0.1892
15222,0.19801,39.7561,0.1825
1316431,0.19815,39.8879,0.1744
13370,0.19846,40.3246,0.2386
360145,0.19860,39.8881,0.2115
19658,0.19863,39.8890,0.1745
18768,0.19892,40.0216,0.2176
110460,0.19956,39.8511,0.2542
500504,0.19948,39.6764,0.2462
560150,0.19957,39.8965,0.1716
19101,0.20062,39.6837,0.1950
470232,0.20068,39.9838,0.2530
370308,0.20074,39.7672,0.3161
590002,0.20139,39.8575,0.2170
13152,0.20216,39.6184,0.1981
19913,0.20237,39.9949,0.1597
6780,0.20268,39.8373,0.1850
14212,0.20308,39.9658,0.1466
15203,0.20314,39.8822,0.1668
16032,0.20318,39.9277,0.1738
7243,0.20323,39.9335,0.2161
15901,0.20368,39.9041,0.1715
18965,0.20454,39.8809,0.1600
110033,0.20471,39.8427,0.2023
17801,0.20515,40.1661,0.2277
15872,0.20549,39.8126,0.1749
1327978,0.20699,39.9225,0.2798
15201,0.20736,40.3160,0.3337
1283373,0.20754,40.0725,0.1490
20376,0.20831,39.7299,0.2722
15467,0.20847,39.8758,0.1468
200132,0.20856,40.1034,0.2395
15259,0.20857,39.8639,0.1977
140152,0.20864,39.8798,0.1596
16482,0.20937,39.8413,0.2621
550154,0.21003,40.1479,0.1489
19149,0.21023,39.4543,0.1860
460105,0.21071,39.9632,0.2230
14157,0.21083,39.8060,0.1557
18940,0.21099,39.9552,0.1633
1257366,0.21137,40.1415,0.2661
7847,0.21160,39.9676,0.2305
17811,0.21186,39.9136,0.1945
18927,0.21214,39.9374,0.2437
13305,0.21339,40.0218,0.1653
8495,0.21353,40.0084,0.1903
6933,0.21383,39.8874,0.1975
110567,0.21442,40.0179,0.2989
1249851,0.21511,39.8825,0.4779
14019,0.21513,40.4641,0.2294
1316,0.21566,40.2253,0.2587
100206,0.21653,39.8253,0.1415
17435,0.21674,40.0672,0.1904
7473,0.21677,40.0932,0.1853
20364,0.21729,40.1395,0.2696
13641,0.21781,39.9942,0.1748
1290816,0.21848,40.2216,0.2044
1304678,0.21884,40.1416,0.2476
9467,0.21885,40.1925,0.2407
5533,0.21887,40.1292,0.2188
1342255,0.21886,40.0296,0.1308
1302187,0.21943,40.0048,0.2090
15433,0.21935,40.1098,0.1600
000220,0.21982,40.0616,0.1243
18466,0.21967,40.0882,0.1734
14331,0.21976,40.2387,0.2202
19230,0.22005,39.9228,0.2429
7512,0.22055,40.1876,0.2253
15354,0.22069,40.0798,0.2668
370098,0.22141,40.0441,0.1433
480464,0.22141,40.0588,0.2048
1331123,0.22157,40.1937,0.1662
13025,0.22287,40.3257,0.2812
14846,0.22335,40.1511,0.1673
330083,0.22373,40.0162,0.1728
1304442,0.22451,40.1293,0.1972
550096,0.22451,39.9449,0.2458
1292560,0.22482,40.1126,0.1606
030066,0.22552,40.1491,0.1740
13727,0.22534,40.1329,0.1889
15229,0.22536,40.1856,0.1974
020096,0.22563,39.9865,0.1760
19992,0.22632,40.3912,0.2011
1315192,0.22714,40.0970,0.2285
1315259,0.22806,40.2236,0.1834
180561,0.22853,40.1604,0.3082
13072,0.22917,40.2229,0.2024
3452,0.22967,40.1351,0.1881
21033,0.23006,40.1283,0.2274
000006,0.23044,40.3062,0.2601
040780,0.23066,40.0717,0.2968
19008,0.23075,40.1049,0.2047
360140,0.23083,40.2958,0.2263
17875,0.23111,40.3169,0.1898
430004,0.23150,40.2010,0.2269
1302648,0.23171,40.0875,0.2373
1275946,0.23212,40.2045,0.1595
15369,0.23269,39.8341,0.1809
1292336,0.23356,40.1857,0.2551
350047,0.23364,40.4148,0.1964
1336687,0.23381,40.1788,0.2921
12971,0.23381,40.1389,0.2141
110536,0.23475,40.1912,0.3280
1279500,0.23471,40.2784,0.1677
1319366,0.23483,40.1580,0.1832
1298281,0.23508,40.1629,0.2752
19341,0.23543,40.2336,0.2142
15287,0.23630,40.3805,0.1557
310574,0.23649,40.2636,0.1567
13511,0.23653,40.4674,0.1931
12881,0.23671,40.1190,0.2367
16350,0.23684,40.2279,0.2102
1317277,0.23711,40.2245,0.2039
20768,0.23735,40.7365,0.3057
17884,0.23776,40.2317,0.1723
470008,0.23954,39.9059,0.2084
18486,0.23971,40.1300,0.1808
510251,0.24004,40.3847,0.2642
580300,0.24072,40.4016,0.1667
510550,0.24106,40.3291,0.1307
460064,0.24153,40.1214,0.1841
17223,0.24151,40.1720,0.2617
14481,0.24207,40.5640,0.2214
20111,0.24267,40.4217,0.2199
480064,0.24271,40.5734,0.2591
20088,0.24316,40.2516,0.1431
13506,0.24341,40.5380,0.3063
19023,0.24405,40.2956,0.2428
15466,0.24436,40.2064,0.2217
3377,0.24449,40.1263,0.1861
000174,0.24497,40.3336,0.2095
420407,0.24512,40.4957,0.1816
20039,0.24539,40.3582,0.2195
000010,0.24594,40.4318,0.1674
13835,0.24604,40.3473,0.1494
15219,0.24637,40.3780,0.1714
12977,0.24643,40.2829,0.2147
05D3mq,0.24649,40.3907,0.1552
1334645,0.24701,40.1983,0.1374
3451,0.24835,40.2030,0.1772
420087,0.24848,40.4912,0.2159
450082,0.24848,40.4276,0.1956
560152,0.24851,40.3657,0.2616
15161,0.24853,40.3256,0.1783
19990,0.24883,40.4270,0.1806
120585,0.24899,40.3167,0.1674
3199,0.24961,40.6733,0.2206
16106,0.24973,40.2961,0.2068
15868,0.24974,40.3915,0.1637
520077,0.25004,40.5965,0.2245
390449,0.25008,40.3764,0.2182
13689,0.25030,40.4145,0.1796
5717,0.25037,40.5692,0.1887
500004,0.25052,40.3009,0.1883
16213,0.25077,40.3873,0.2026
17552,0.25191,40.4698,0.2073
310161,0.25247,40.4622,0.1665
9032,0.25249,40.4066,0.2591
000034,0.25319,40.3688,0.1570
17464,0.25345,40.0303,0.2628
5736,0.25394,40.4546,0.1678
1336480,0.25605,40.6458,0.1942
1112,0.25609,40.5593,0.2717
17340,0.25625,40.3729,0.2073
9457,0.25672,40.5023,0.2517
19207,0.25721,40.5776,0.2500
18325,0.25723,40.4941,0.1936
8046,0.25760,40.6088,0.2253
6108,0.25800,40.5280,0.2312
550041,0.25847,40.4663,0.2093
1297026,0.25855,40.5100,0.1498
1303883,0.25911,40.5418,0.1637
1289664,0.25908,40.2879,0.1786
1335694,0.25912,40.4255,0.1629
12972,0.25935,40.5238,0.2338
1330426,0.25954,40.4420,0.1700
020176,0.26051,40.5033,0.1713
370498,0.26086,40.6128,0.1859
15440,0.26130,40.4470,0.2075
1337649,0.26151,40.4182,0.2255
2017,0.26162,40.6874,0.2589
19702,0.26162,40.6810,0.2333
1253,0.26166,40.3920,0.2260
13655,0.26173,40.6935,0.2491
18945,0.26187,40.7216,0.2169
13956,0.26290,41.2641,0.5146
520019,0.26309,40.6388,0.1701
04D3ez,0.26348,40.3997,0.1773
350235,0.26384,40.5588,0.1677
330022,0.26386,40.3035,0.2058
12983,0.26395,40.6342,0.3810
2943,0.26405,40.5074,0.2385
110478,0.26462,40.5153,0.1980
13099,0.26451,40.6719,0.2565
2422,0.26570,40.6087,0.2197
6315,0.26576,40.3244,0.2061
1334087,0.26629,40.2901,0.2650
18463,0.26687,40.5463,0.2049
1309288,0.26794,40.5103,0.2021
520023,0.26804,40.4623,0.2320
530037,0.26850,40.5790,0.1911
06D3fp,0.26848,40.4553,0.2404
14298,0.26879,40.6039,0.2172
510638,0.27006,40.6363,0.1970
19002,0.27010,40.5089,0.1649
310051,0.27045,40.5139,0.2093
160039,0.27085,40.4887,0.1661
380378,0.27129,40.5677,0.1234
1292332,0.27265,40.5415,0.1732
15356,0.27340,40.4721,0.2087
420258,0.27444,40.7399,0.2931
100213,0.27511,40.7769,0.2394
150254,0.27508,40.5286,0.2419
20227,0.27574,40.6631,0.2136
19051,0.27619,40.6749,0.1801
4000,0.27656,40.8504,0.2722
4046,0.27764,40.6186,0.2447
1297465,0.27784,40.9187,0.1780
5957,0.27924,40.7037,0.1643
6196,0.27980,40.5056,0.1993
040201,0.27987,40.5664,0.1533
520188,0.28049,40.6663,0.1531
18485,0.28122,40.6224,0.1748
1317286,0.28198,40.5986,0.1666
06D3dt,0.28256,40.7440,0.2974
15584,0.28333,40.6596,0.1844
310238,0.28395,40.5735,0.1541
14261,0.28436,40.5431,0.1866
16072,0.28434,40.6919,0.2071
17791,0.28468,41.1135,0.3513
440050,0.28547,40.7046,0.1860
350080,0.28577,40.6710,0.1732
20040,0.28655,40.6389,0.2175
20245,0.28723,40.5691,0.2504
17809,0.28746,40.5379,0.2389
19128,0.28763,40.8753,0.2272
1334644,0.28806,40.7075,0.1880
1313594,0.28835,40.7490,0.1378
091869,0.28843,40.7458,0.1654
2165,0.28882,40.9433,0.2260
2789,0.28890,40.7428,0.2285
1334597,0.28896,40.6763,0.1681
1310395,0.28899,40.7020,0.2772
350180,0.28952,40.9765,0.2561
1289288,0.29001,40.7393,0.2714
570056,0.28998,40.7298,0.2345
19596,0.29036,40.7861,0.2308
19027,0.29114,40.4840,0.2191
1291090,0.29199,40.7606,0.1777
1263715,0.29186,40.7653,0.1722
12841,0.29208,40.7505,0.4837
390264,0.29208,40.4229,0.2925
21006,0.29241,40.6378,0.2288
420414,0.29246,40.6952,0.2248
150509,0.29280,40.7458,0.1743
130755,0.29291,40.8268,0.2036
6249,0.29354,40.8570,0.2048
1303004,0.29496,40.7620,0.1738
19794,0.29568,41.0209,0.3079
580270,0.29576,40.9989,0.1658
1119,0.29639,40.9938,0.3661
13610,0.29683,40.6595,0.2026
1293319,0.29687,40.7505,0.2105
420196,0.29842,41.2705,0.2327
570025,0.29845,40.6539,0.2729
6137,0.29888,40.9195,0.2550
10550,0.29923,41.0113,0.3417
120444,0.29947,41.0213,0.1960
14735,0.29936,40.7335,0.1865
170428,0.30007,40.9837,0.1982
5391,0.30022,40.8795,0.2472
350078,0.30078,41.1729,0.2947
350192,0.30150,40.8585,0.1917
570022,0.30141,41.1086,0.2060
460037,0.30254,40.8894,0.2248
1339002,0.30296,40.8204,0.2747
150457,0.30339,40.9204,0.1425
7143,0.30354,41.0778,0.1975
1287626,0.30396,40.7190,0.2221
19818,0.30395,40.7052,0.1825
1335717,0.30478,41.0411,0.2428
1259412,0.30477,40.9018,0.1401
12883,0.30519,40.5924,0.3067
350630,0.30525,40.9054,0.1338
440005,0.30551,41.0041,0.2262
350027,0.30568,40.9451,0.1655
560087,0.30641,40.8959,0.2016
340334,0.30668,41.1600,0.2391
1281668,0.30697,40.9573,0.1501
520062,0.30805,41.2018,0.1397
5966,0.30822,40.9533,0.2541
1319821,0.30881,40.9954,0.1524
6699,0.30915,41.0460,0.2506
5844,0.30930,40.9757,0.2704
16211,0.30939,41.0177,0.3004
21042,0.30955,40.7200,0.2572
1300516,0.31043,40.6197,0.3364
15213,0.31053,40.9962,0.2214
500100,0.31077,41.0460,0.1826
000420,0.31152,41.0123,0.1417
1338128,0.31185,41.0377,0.2109
1337838,0.31195,40.9503,0.1604
1263369,0.31252,40.9565,0.1497
1294743,0.31258,41.0352,0.2795
20142,0.31259,40.6239,0.2062
1283878,0.31287,41.0195,0.2035
1341894,0.31294,41.0061,0.1768
19632,0.31377,41.0228,0.2144
530112,0.31444,41.1251,0.1557
15383,0.31495,41.0194,0.2278
6649,0.31509,40.8837,0.2200
110716,0.31577,41.2033,0.2333
15776,0.31582,40.9330,0.2276
6100,0.31613,41.1979,0.2741
100163,0.31773,41.0738,0.1959
1345553,0.31795,41.0772,0.1672
080646,0.31813,41.0199,0.1535
550059,0.31839,41.3345,0.3279
310188,0.31893,41.1410,0.1777
440509,0.31892,40.8941,0.2039
170078,0.32089,41.2315,0.2073
330128,0.32095,40.9546,0.1564
1266657,0.32108,41.1921,0.2934
120085,0.32214,40.7271,0.1993
580104,0.32214,40.8628,0.1582
1261579,0.32214,40.8774,0.1388
7475,0.32265,40.9316,0.2119
05D2ab,0.32454,41.0699,0.1265
050291,0.32535,41.2273,0.1933
500301,0.32550,41.2625,0.2553
18617,0.32570,41.1639,0.2713
1305626,0.32573,41.0478,0.1417
1308326,0.32622,41.0504,0.1572
14456,0.32794,41.0002,0.1718
050303,0.32829,41.3079,0.3084
530219,0.32838,41.3510,0.2787
430003,0.32843,40.9340,0.2957
1337687,0.32870,41.0716,0.1505
1306073,0.32859,41.1000,0.1442
6924,0.32860,40.9276,0.2222
1316465,0.32910,41.0566,0.1652
13934,0.32931,41.4109,0.3106
540163,0.32943,41.2391,0.1625
1301933,0.32960,41.1031,0.1148
13830,0.32985,40.8444,0.2098
120369,0.33055,41.2306,0.1316
1338675,0.33048,41.1674,0.2144
4241,0.33052,41.1689,0.2311
480184,0.33080,41.1586,0.2395
370394,0.33080,40.9960,0.2120
03D1fc,0.33094,41.0098,0.1371
580235,0.33154,41.0301,0.2187
20106,0.33137,41.2335,0.2855
370344,0.33155,41.1012,0.1660
470041,0.33179,41.0149,0.1440
1306141,0.33240,40.9770,0.1592
130862,0.33290,41.3299,0.2017
1309492,0.33353,41.0025,0.1419
1346956,0.33353,41.0366,0.1761
16093,0.33439,41.1204,0.2357
500511,0.33490,41.0251,0.1719
1346966,0.33513,41.0242,0.1779
1314897,0.33663,41.0367,0.1842
470015,0.33752,41.1678,0.2787
040782,0.33739,41.0098,0.2372
04D3kr,0.33753,41.1477,0.1761
1300912,0.33780,41.1537,0.2339
380318,0.33825,41.1450,0.2112
580276,0.33851,41.1131,0.2004
1343337,0.33900,41.0555,0.3565
04D3nh,0.34051,41.1737,0.1924
320258,0.34090,41.0587,0.1943
2533,0.34101,41.0641,0.2551
1336009,0.34176,41.2122,0.3210
1346387,0.34448,41.3081,0.1525
350606,0.34450,41.2914,0.2992
1329312,0.34479,41.2333,0.1717
470110,0.34547,41.2033,0.2302
03D1bp,0.34594,41.3318,0.1367
310090,0.34686,41.4163,0.3703
050301,0.34704,41.1174,0.2443
330089,0.34872,41.3721,0.2184
160198,0.34899,41.2499,0.1586
1258906,0.34918,41.2820,0.2060
070955,0.34920,41.1406,0.1580
380279,0.34946,41.2033,0.1686
04D2mc,0.34957,41.0050,0.2263
05D2ie,0.34956,41.3756,0.1714
440185,0.34952,41.1526,0.2058
20186,0.34957,41.4873,0.2877
1248677,0.35017,41.1867,0.1470
000196,0.35066,41.2342,0.1631
050296,0.35087,41.2532,0.1614
05D2hc,0.35157,41.4798,0.2095
120400,0.35156,41.3343,0.1390
160197,0.35361,41.3657,0.1919
05D2mp,0.35527,41.4647,0.2230
1688,0.35767,41.3574,0.2920
1334423,0.35791,41.3539,0.2153
04D3fk,0.35833,41.2423,0.2160
04D2fs,0.35858,41.1484,0.2890
1280217,0.35901,41.1532,0.3057
160070,0.35897,41.4429,0.1711
1307830,0.35949,41.4213,0.1545
050293,0.36005,41.1870,0.1912
160126,0.36023,41.0791,0.2303
470244,0.36081,41.4328,0.1975
420417,0.36138,41.1159,0.2880
1294014,0.36272,41.2452,0.2100
1346137,0.36326,41.3640,0.2151
560121,0.36491,41.4626,0.2916
100358,0.36613,41.1360,0.2262
190209,0.36648,41.2327,0.1557
1308582,0.36705,41.2088,0.1519
350083,0.36780,41.2627,0.1656
04D1hd,0.36791,41.4699,0.1584
1343533,0.36844,41.5479,0.3364
1283936,0.36862,41.4630,0.3456
15704,0.36952,41.4498,0.2444
18091,0.36977,41.2185,0.2550
510578,0.37012,41.3794,0.1888
04D2cf,0.37059,41.3759,0.1632
05D4bm,0.37051,41.3833,0.1600
13136,0.37046,41.6395,0.2566
05D3jr,0.37053,41.2730,0.2824
390471,0.37053,41.0698,0.1359
320469,0.37087,41.4098,0.3905
1291957,0.37143,41.3340,0.1681
000199,0.37160,41.3842,0.1166
05D4fo,0.37150,41.4289,0.1654
05D4cw,0.37351,41.3114,0.1330
16232,0.37426,41.4722,0.2348
1299643,0.37678,41.4155,0.1547
1282736,0.37798,41.3598,0.2232
590031,0.37859,41.4271,0.1824
7779,0.37986,41.2959,0.2199
320099,0.37989,41.4154,0.1638
500057,0.38052,41.4614,0.1880
110425,0.38083,41.4511,0.2014
1299785,0.38131,41.4549,0.2041
000011,0.38160,41.6775,0.2190
040150,0.38174,41.5615,0.1989
580275,0.38250,41.3726,0.2652
1343401,0.38284,41.3678,0.2066
1281886,0.38394,41.5182,0.2018
360139,0.38594,41.5217,0.1521
1338170,0.38677,41.3791,0.2708
550218,0.38735,41.5567,0.2735
050251,0.38772,41.6302,0.2839
420352,0.38886,41.3830,0.1996
1290779,0.38951,41.5440,0.1922
120086,0.39262,41.4742,0.2373
1291794,0.39512,41.4677,0.2036
1296273,0.39698,41.2590,0.1685
1333438,0.39946,41.7119,0.2878
05D4ff,0.40048,41.4918,0.1583
110734,0.40212,41.4795,0.1995
580312,0.40286,41.5478,0.2904
1329615,0.40361,41.6160,0.2138
06D3ed,0.40454,41.6747,0.1660
350050,0.40472,41.3373,0.2020
05D4dt,0.40547,41.7807,0.1355
1308314,0.40648,41.6914,0.1688
1341370,0.40900,41.7002,0.2400
1306390,0.40911,41.7405,0.3637
450339,0.40927,41.7061,0.2750
06D4cq,0.40947,41.6784,0.1722
020090,0.40995,41.6836,0.2800
1307277,0.41114,41.6620,0.3181
530251,0.41131,41.8335,0.2427
520071,0.41152,41.8131,0.1491
1315296,0.41258,41.7893,0.3301
04D2fp,0.41664,41.7295,0.1492
05D2dw,0.41864,41.6174,0.2021
440162,0.41927,41.6863,0.1926
550137,0.41931,41.4604,0.2226
1289600,0.41962,41.8662,0.2246
05D3cf,0.41956,41.7981,0.2358
1340454,0.41997,41.4394,0.2944
550202,0.42027,41.8343,0.3442
1306626,0.42090,41.6178,0.1764
110430,0.42085,41.7280,0.2501
1306991,0.42199,41.5336,0.2708
04D4gg,0.42245,41.6483,0.2317
1345594,0.42242,41.6796,0.2754
490037,0.42355,41.5955,0.1865
160200,0.42349,41.8403,0.4008
1302523,0.42392,41.7264,0.1342
1312274,0.42451,41.7483,0.1958
1295027,0.42562,41.7039,0.1955
1258940,0.42594,41.7517,0.1754
050003,0.42689,41.8130,0.2295
110542,0.42694,41.8348,0.1983
110719,0.42784,42.2757,0.2386
05D2cb,0.42865,41.8825,0.4035
440236,0.42888,41.6443,0.1934
1306029,0.42895,41.8266,0.2508
100101,0.42967,41.9219,0.1981
080723,0.43013,41.8354,0.1658
04D1rh,0.43487,41.7828,0.1837
06D4co,0.43544,41.5839,0.1336
000142,0.43673,42.0051,0.1818
1336008,0.43765,41.6253,0.1661
1333246,0.43774,41.8820,0.3569
1310338,0.43883,41.4679,0.2112
560027,0.43883,41.6682,0.2800
050607,0.43926,41.8262,0.2028
040166,0.44004,42.1401,0.4419
510266,0.44059,41.6364,0.1602
1328105,0.44154,41.6823,0.1836
1295256,0.44246,41.8523,0.1729
06D3df,0.44254,41.9039,0.1397
06D2gb,0.44368,41.7930,0.1822
1291080,0.44384,41.8069,0.2903
040137,0.44756,41.8552,0.2240
1328066,0.44890,41.8853,0.2218
1320166,0.44896,41.9875,0.2156
050580,0.45060,41.6446,0.1577
520016,0.45100,41.9281,0.2134
04D2gb,0.45169,41.5892,0.2253
120094,0.45169,41.9923,0.1547
04D3gt,0.45155,41.7162,0.3054
1290127,0.45223,41.9959,0.3201
1253101,0.45333,41.7953,0.2078
1253039,0.45347,41.8863,0.1441
1334302,0.45463,41.7873,0.2092
1306360,0.45478,41.8839,0.2841
1345582,0.45878,41.9679,0.2522
380199,0.46055,42.0021,0.1909
510597,0.46098,42.0162,0.2303
05D3lc,0.46156,41.9839,0.1384
03D4au,0.46641,42.3424,0.3965
000215,0.46660,42.0480,0.1359
04D4jr,0.46840,41.9733,0.2061
1339149,0.46880,41.7631,0.2340
04D4ju,0.47039,42.2151,0.4045
05D3mx,0.47057,42.0135,0.1806
370367,0.47170,41.9798,0.2109
1316437,0.47196,42.0374,0.2569
05D2bv,0.47572,41.9380,0.1771
370329,0.47793,42.2269,0.2283
310146,0.47943,41.8695,0.2039
1306537,0.47948,42.0107,0.1990
560054,0.47980,41.8956,0.2378
05D3dd,0.48056,42.0041,0.1604
05D2ac,0.48071,41.9748,0.1392
120044,0.48171,42.3055,0.2109
05D1ix,0.48881,42.0842,0.1997
1292145,0.49246,42.2783,0.3354
1343208,0.49501,42.0821,0.1650
1305504,0.49560,42.1453,0.1209
03D1ax,0.49572,42.0817,0.1539
05D4af,0.49737,42.1268,0.2259
06D2bk,0.50073,42.2570,0.2538
350374,0.50090,42.1165,0.2831
1337272,0.50276,42.1610,0.2185
030006,0.50276,42.0703,0.3129
510457,0.50300,42.1484,0.3113
03D1au,0.50309,42.1444,0.2287
1335472,0.50598,42.0790,0.1667
1343759,0.50617,42.1043,0.1517
310091,0.50716,42.2358,0.1810
05D4av,0.50737,42.2419,0.2888
090201,0.50817,42.0193,0.1843
180313,0.51006,42.0945,0.1444
110484,0.51087,42.0583,0.2391
05D2dy,0.51175,42.3885,0.2273
04D1pg,0.51380,42.2567,0.3597
04D4in,0.51435,42.2259,0.1962
04D2mj,0.51475,42.3259,0.4029
1338430,0.51718,42.0932,0.1904
1334470,0.51876,42.1949,0.2504
310260,0.51879,42.1824,0.2096
450175,0.51943,42.2438,0.3151
06D3el,0.51960,42.2905,0.1965
04D2gc,0.52277,42.3496,0.2739
1295921,0.52393,42.1774,0.3692
1322229,0.52613,42.1702,0.2233
050005,0.52851,42.0855,0.1888
1322979,0.52939,42.2913,0.1410
330106,0.53091,41.8802,0.2343
160066,0.53105,42.5109,0.2893
1338471,0.53117,42.5253,0.3809
1337703,0.53226,41.9821,0.2220
06D2ca,0.53277,42.2472,0.2944
06D2cc,0.53377,42.1649,0.2738
05D4ek,0.53433,42.1433,0.2253
05D4be,0.53532,42.3205,0.2047
05D2eb,0.53578,42.2134,0.2095
1289656,0.53944,42.3338,0.2445
110426,0.54089,42.2791,0.2334
1324542,0.54154,42.5300,0.2425
520041,0.54540,42.5633,0.1914
04D4bq,0.54832,42.0235,0.3632
1306980,0.54886,42.1695,0.3786
050201,0.55011,42.3253,0.1959
06D4bo,0.55031,42.3728,0.2085
1339450,0.55048,42.4104,0.3763
04D3hn,0.55260,42.1938,0.2442
06D2ck,0.55380,42.4900,0.2071
1337117,0.55389,42.0827,0.1774
05D1ee,0.55775,42.4389,0.1952
05D1kl,0.55875,42.7331,0.3833
04D1hx,0.55875,42.2975,0.3562
1289555,0.56174,42.2937,0.2278
1303952,0.56263,42.6016,0.2652
05D1cc,0.56276,42.4296,0.2347
1285317,0.56441,42.3928,0.2211
1330903,0.56430,42.4881,0.2076
1338278,0.56431,42.3969,0.2965
05D1dn,0.56475,42.4873,0.1928
1317454,0.56883,42.2407,0.2623
