planeta,estrela,a_UA,R_Rterra,Teff_K,L_Lsol,distancia_pc
HIP 54373 b,HIP 54373,0.06300,2.870,4021,0.059925,18.72
Kepler-598 b,Kepler-598,0.04487,1.500,5307,0.55268,681.09
Kepler-1028 b,Kepler-1028,0.03540,1.330,5522,0.56905,607.92
CoRoT-14 b,CoRoT-14,0.02700,12.220,6035,1.3147,1744.60
HD 9446 b,HD 9446,0.18900,14.000,5793,1.1,50.35
Kepler-1627 b,Kepler-1627,0.06430,3.690,5445,0.4975,317.44
Kepler-1920 b,Kepler-1920,0.20430,2.954,6277,1.2599,885.91
Kepler-1155 b,Kepler-1155,0.20060,2.030,5842,1.1148,1128.72
Kepler-1171 b,Kepler-1171,0.02840,2.560,7044,7.3998,573.00
HD 65216 b,HD 65216,1.30100,13.600,5612,0.70827,35.12
HIP 90988 b,HIP 90988,1.36000,13.400,4883,7.76,94.03
47 UMa c,47 UMa,3.60000,14.200,5872,1.5769,13.80
Kepler-436 c,Kepler-436,0.11452,2.330,4685,0.19907,588.87
HD 175167 b,HD 175167,2.40000,12.300,5635,2.8571,71.09
Kepler-1743 b,Kepler-1743,0.08400,1.599,5855,3.9754,538.81
Kepler-721 b,Kepler-721,0.05830,2.640,5075,0.43461,926.60
Kepler-314 c,Kepler-314,0.06400,2.900,5378,0.59472,268.88
HAT-P-31 b,HAT-P-31,0.06100,12.218,6065,2.7111,344.05
HD 11964 b,HD 11964,3.16000,14.100,5303,2.8777,33.54
K2-211 b,K2-211,0.01419,1.332,5117,0.414,272.30
Kepler-2001 b,Kepler-2001,0.01970,1.040,5081,0.28427,776.55
TOI-238 b,TOI-238,0.02120,1.559,5059,0.3382,80.54
Kepler-1817 b,Kepler-1817,0.23480,2.273,5316,0.41645,748.57
HD 220197 b,HD 220197,2.72900,9.320,5683,0.99213,64.41
Kepler-1247 b,Kepler-1247,0.10910,2.330,5303,0.45158,1045.92
HD 154345 b,HD 154345,4.15800,13.700,5468,0.60348,18.28
Kepler-243 b,Kepler-243,0.06200,2.450,5228,0.42328,693.86
Kepler-308 b,Kepler-308,0.09000,2.120,5895,0.76618,1335.92
Teegarden's Star d,Teegarden's Star,0.07910,0.954,3034,0.000722,3.83
Kepler-254 d,Kepler-254,0.13900,2.500,5957,0.75005,1389.48
K2-19 b,K2-19,0.07487,7.000,5322,0.51055,289.83
TCP J05074264+2447555 b,TCP J05074264+2447555,0.94000,4.720,5805,2.0771,505.00
HD 30177 b,HD 30177,3.49000,12.600,5680,1.212,55.59
Kepler-1475 b,Kepler-1475,0.37300,2.920,6214,1.7939,1568.38
K2-111 c,K2-111,0.11565,3.340,5775,1.9,200.39
HAT-P-67 b,HAT-P-67,0.06505,23.987,6640,11.96,371.69
TOI-2373 b,TOI-2373,0.11200,10.424,5651,1.125,508.69
Kepler-1530 d,Kepler-1530,0.08276,3.279,5678,0.48881,489.88
TOI-1288 b,TOI-1288,0.03740,4.968,5388,0.7,114.86
Kepler-660 b,Kepler-660,0.07590,2.570,4779,0.23679,568.43
Kepler-760 b,Kepler-760,0.08087,3.060,5322,0.52484,792.34
TRAPPIST-1 c,TRAPPIST-1,0.01580,1.097,2566,0.00055301,12.43
Kepler-1712 b,Kepler-1712,0.09030,2.284,3732,0.066197,156.26
Kepler-784 b,Kepler-784,0.22111,1.580,5674,7.1933,1303.72
Kepler-1612 b,Kepler-1612,0.04820,1.030,5643,0.64832,764.73
TOI-1246 e,TOI-1246,0.21200,3.514,5213,0.5,169.42
K2-157 b,K2-157,0.00962,0.935,5334,0.61631,298.37
Kepler-1335 b,Kepler-1335,0.06150,1.450,4903,0.27829,621.85
Kepler-612 b,Kepler-612,0.04520,2.840,5693,2.0189,1445.53
Kepler-20 f,Kepler-20,0.13870,0.952,5495,0.68468,282.56
CoRoT-32 b,CoRoT-32,0.07100,6.389,5970,0.7,576.68
Kepler-289 d,Kepler-289,0.33000,3.030,5990,1.1508,704.44
Kepler-383 c,Kepler-383,0.17200,1.240,4710,0.20045,470.00
Kepler-228 c,Kepler-228,0.05200,2.700,6043,1.2917,1644.61
K2-32 b,K2-32,0.07950,5.299,5271,0.50574,157.68
GJ 2030 c,GJ 2030,16.76100,12.300,5485,4.0954,37.08
Kepler-1882 b,Kepler-1882,0.11636,1.487,5691,1.7248,443.37
Kepler-664 b,Kepler-664,0.03740,2.660,5754,0.77423,1210.12
K2-25 b,K2-25,0.02870,3.440,3207,0.00816,44.96
Kepler-450 b,Kepler-450,0.20092,6.140,6197,3.5812,455.98
Kepler-1054 b,Kepler-1054,0.05542,2.630,6209,2.3371,1090.51
TOI-5386 A b,TOI-5386 A,0.04856,14.706,6094,1.927,394.49
Kepler-387 c,Kepler-387,0.09800,0.890,5774,1.3721,801.05
Kepler-157 c,Kepler-157,0.11000,2.240,5774,1.2336,773.71
Kepler-680 b,Kepler-680,0.04690,2.420,5890,1.575,1492.48
Kepler-697 b,Kepler-697,0.04710,4.130,5513,0.94313,1277.33
Kepler-616 b,Kepler-616,0.09270,2.430,5753,0.77359,945.77
Kepler-202 c,Kepler-202,0.11300,1.850,4668,0.23005,285.11
HD 141399 e,HD 141399,5.00000,14.100,5600,1.59,37.02
TOI-2449 b,TOI-2449,0.45000,11.240,6021,1.4063,156.79
Kepler-338 e,Kepler-338,0.08979,1.560,5999,3.8521,552.80
K2-229 c,K2-229,0.07690,2.030,5315,0.40861,102.56
tau Cet h,tau Cet,0.24300,1.190,5310,0.49501,3.60
Kepler-1749 b,Kepler-1749,0.09560,1.613,3957,0.11223,268.20
HD 3167 d,HD 3167,0.07700,2.610,5338,0.55301,47.29
HIP 63242 b,HIP 63242,0.56500,12.500,4830,42.658,156.46
Kepler-1793 b,Kepler-1793,0.07870,3.790,5191,0.58359,1189.88
TOI-1203 b,TOI-1203,0.04869,1.520,5737,1.3482,64.99
Kepler-1107 b,Kepler-1107,0.01285,1.340,5268,0.3828,428.80
HD 457 b,HD 457,15.36900,11.900,6114,2.0689,55.04
HD 112640 b,HD 112640,1.70000,12.900,4155,283.5,323.33
Kepler-166 c,Kepler-166,0.19500,2.380,5413,0.41202,603.53
Kepler-1647 b,Kepler-1647,2.72050,11.874,6210,4.4081,1212.45
HD 181234 b,HD 181234,7.42700,12.500,5386,0.79702,47.75
Kepler-349 b,Kepler-349,0.06500,1.900,5956,0.98333,940.72
Kepler-1815 b,Kepler-1815,0.09840,2.749,5516,0.93313,1006.63
TOI-907.01,TOI-907,0.05523,9.616,6272,5.7361,312.53
Kepler-1417 b,Kepler-1417,0.14062,1.000,5839,2.4807,991.85
Kepler-56 b,Kepler-56,0.10280,6.510,4840,8.0269,912.99
Kepler-1197 b,Kepler-1197,0.02869,1.250,4708,0.21563,486.94
Kepler-1921 b,Kepler-1921,0.15865,2.895,6120,6.4009,928.99
Kepler-1484 b,Kepler-1484,0.19390,2.110,5730,6.2447,2879.83
HD 47366 c,HD 47366,1.84000,13.500,4866,26.1,84.36
Kepler-1210 b,Kepler-1210,0.07530,1.700,5568,0.70992,1176.53
K2-245 b,K2-245,0.09590,4.340,5793,1.4856,456.06
Kepler-159 b,Kepler-159,0.08200,2.380,4625,0.17602,373.74
Kepler-91 b,Kepler-91,0.07310,15.323,4550,16.788,1294.69
Kepler-354 b,Kepler-354,0.05400,1.840,4648,0.19322,554.06
K2-290 b,K2-290,0.09230,3.060,6302,2.6324,272.91
Kepler-1766 b,Kepler-1766,0.41610,2.279,5868,1.4958,501.23
Kepler-774 b,Kepler-774,0.10820,3.170,6403,5.6582,917.80
Kepler-859 b,Kepler-859,0.13157,3.090,5020,0.27773,839.90
UCAC3 113-933 b,UCAC3 113-933,6100.00000,12.100,3864,0.063996,52.58
Kepler-1972 c,Kepler-1972,0.10493,0.868,5818,1.97,287.34
Kepler-1833 b,Kepler-1833,0.07545,1.300,6164,2.7378,591.60
Kepler-401 d,Kepler-401,0.66886,2.270,6184,3.6822,965.56
TRAPPIST-1 f,TRAPPIST-1,0.03849,1.045,2566,0.00055301,12.43
TOI-4458 b,TOI-4458,0.05220,12.408,6151,5.34,505.43
GJ 667 C b,GJ 667 C,0.05043,2.250,3350,0.013709,7.24
Kepler-1621 b,Kepler-1621,0.42040,2.160,6158,3.0076,1631.66
HD 206893 b,HD 206893,10.75000,14.011,6500,2.8582,40.76
HD 238090 b,HD 238090,0.09320,2.520,3933,0.0702,15.24
Kepler-1840 b,Kepler-1840,0.46206,2.778,4898,0.25879,513.11
Kepler-1362 b,Kepler-1362,0.46260,2.600,4857,0.25043,731.30
KOI-984 b,KOI-984,0.05040,4.300,5295,0.47424,252.67
TOI-1420 b,TOI-1420,0.07100,11.890,5510,0.705,201.92
Kepler-37 c,Kepler-37,0.13900,0.755,5357,0.47657,63.92
Kepler-717 b,Kepler-717,0.05200,2.420,5485,4.0215,2805.48
K2-188 c,K2-188,0.07850,2.830,5977,1.6251,446.82
K2-148 d,K2-148,0.07740,1.640,4079,0.101,124.46
TOI-4791 b,TOI-4791,0.05550,12.442,6058,2.4,328.80
Kepler-1566 b,Kepler-1566,0.01198,0.790,5254,0.36581,466.59
kap And b,kap And,55.00000,15.917,11327,62.604,50.02
Kepler-1751 b,Kepler-1751,0.07120,1.824,6052,1.0866,1291.47
WASP-132 d,WASP-132,2.71000,12.800,4686,0.266,122.91
Kepler-704 b,Kepler-704,0.04700,2.610,5616,1.086,1228.83
TIC 147027702 b,TIC 147027702,0.27400,10.929,6410,6.8,457.19
K2-156 b,K2-156,0.01490,1.100,4460,0.1452,150.21
HATS-56 b,HATS-56,0.06043,18.921,6536,7.9001,564.41
WASP-154 b,WASP-154,0.04400,10.761,4774,0.31577,215.50
Kepler-150 f,Kepler-150,1.24000,3.640,5528,0.68959,891.09
Kepler-304 c,Kepler-304,0.05400,2.170,4731,0.21797,434.68
HAT-P-43 b,HAT-P-43,0.04440,13.630,5693,1.1478,528.83
Kepler-279 d,Kepler-279,0.29010,3.100,6689,3.3022,1037.40
NGTS-38 b,NGTS-38,0.69700,12.117,6310,4.922,268.64
Kepler-49 e,Kepler-49,0.11600,1.560,4252,0.074,311.22
Kepler-1432 b,Kepler-1432,0.16960,2.220,6031,2.8132,2171.87
HAT-P-42 b,HAT-P-42,0.05750,14.348,5743,2.2699,405.24
Kepler-355 c,Kepler-355,0.17900,2.710,6184,1.5673,1432.17
Kepler-326 c,Kepler-326,0.05100,1.400,5105,0.69732,487.68
Kepler-1299 b,Kepler-1299,0.13570,2.980,5609,0.78305,1404.94
TOI-172 b,TOI-172,0.09140,10.817,5645,2.89,342.83
Kepler-741 b,Kepler-741,0.07440,2.970,6129,2.1459,1661.87
Kepler-1806 b,Kepler-1806,0.08130,2.356,5311,0.36725,978.07
Kepler-353 c,Kepler-353,0.06500,1.380,3903,0.064999,384.69
HD 2952 b,HD 2952,1.11700,13.900,4853,58.59,110.10
TOI-375 c,TOI-375,0.52400,13.400,5260,5.754,396.21
Kepler-1226 b,Kepler-1226,0.13945,1.450,5923,2.2881,1125.72
Kepler-560 b,Kepler-560,0.08990,1.720,3556,0.019187,109.31
PZ Tel b,PZ Tel,27.00000,11.900,5169,1.0154,47.06
HD 164604 c,HD 164604,5.55600,12.500,4663,0.26,39.36
Kepler-1048 b,Kepler-1048,0.05900,1.610,4651,0.38972,556.01
Kepler-1422 b,Kepler-1422,0.14990,2.020,6194,2.8007,2465.84
Kepler-1094 b,Kepler-1094,0.36250,3.180,6112,1.507,1291.01
HD 69830 c,HD 69830,0.18600,3.460,5385,0.60256,12.56
HD 82943 c,HD 82943,0.74345,13.400,5935,1.5633,27.59
TOI-1749 d,TOI-1749,0.07070,2.520,3985,0.069745,99.56
Kepler-954 b,Kepler-954,0.12020,2.320,4990,0.26779,215.81
HATS-38 b,HATS-38,0.05036,6.882,5732,1.179,343.52
K2-36 c,K2-36,0.05528,3.200,4916,0.26915,109.75
Kepler-1388 c,Kepler-1388,0.05190,2.260,4098,0.078199,453.80
Kepler-416 b,Kepler-416,0.06740,2.480,5718,1.0664,690.82
Kepler-1567 b,Kepler-1567,0.55200,2.730,5655,0.75539,1206.11
HD 147873 c,HD 147873,1.36000,13.300,5972,5.99,109.06
Kepler-290 b,Kepler-290,0.11000,2.250,5147,0.25947,694.63
Kepler-1212 b,Kepler-1212,0.10820,2.140,6051,1.6257,1316.57
Kepler-857 b,Kepler-857,0.37510,6.800,5773,0.84834,983.50
Kepler-1626 b,Kepler-1626,0.05370,2.020,6826,4.0812,1368.83
TOI-1836 c,TOI-1836,0.03089,2.600,6237,3.714,191.65
K2-64 b,K2-64,0.06190,2.070,5312,0.58316,499.89
Kepler-1336 b,Kepler-1336,0.15845,1.980,5512,2.6334,1126.64
Kepler-872 b,Kepler-872,0.03620,1.990,5902,0.71494,879.68
Kepler-1656 b,Kepler-1656,0.19740,4.574,5569,1.0491,185.88
POTS-1 b,POTS-1,0.03734,10.548,4400,0.081865,747.96
Kepler-68 e,Kepler-68,4.60000,11.200,5847,1.7024,144.17
Kepler-1406 b,Kepler-1406,0.09870,1.100,5892,1.3646,572.40
Kepler-758 e,Kepler-758,0.08290,1.530,6228,3.6543,1502.32
Kepler-675 b,Kepler-675,0.03250,2.440,4945,0.31139,665.68
Kepler-77 b,Kepler-77,0.04501,10.761,5520,0.8995,639.41
Kepler-679 b,Kepler-679,0.09830,3.010,5403,0.44918,922.24
K2-265 b,K2-265,0.03359,1.708,5420,0.65701,138.67
Kepler-1682 b,Kepler-1682,0.11340,2.889,5619,0.63724,1159.85
Kepler-1907 c,Kepler-1907,0.10371,1.155,5159,0.23725,292.11
Kepler-996 b,Kepler-996,0.04740,1.980,6014,1.7477,1216.58
Kepler-174 d,Kepler-174,0.67700,2.190,4880,0.26891,384.76
Kepler-282 d,Kepler-282,0.15837,2.460,5656,1.2761,1337.61
HD 219828 c,HD 219828,5.65700,12.200,5891,2.6303,73.11
Kepler-758 d,Kepler-758,0.15270,2.120,6228,3.6543,1502.32
K2-85 b,K2-85,0.01300,1.400,4232,0.15427,97.22
TOI-2076 b,TOI-2076,0.08781,2.590,5187,0.3777,41.91
K2-3 d,K2-3,0.20140,1.458,3844,0.0587,44.07
Kepler-360 b,Kepler-360,0.04400,1.650,6053,0.73729,876.04
TOI-3664 b,TOI-3664,0.04310,13.697,5593,1.1903,464.75
Kepler-293 b,Kepler-293,0.14400,3.070,5804,0.58526,974.63
HD 135625 b,HD 135625,5.40000,13.300,6041,2.2103,56.52
K2-419 A b,K2-419 A,0.12080,10.550,3711,0.052901,268.69
HD 126105 b,HD 126105,1.36000,13.500,4875,8.9999,82.88
TOI-756 b,TOI-756,0.01800,2.810,3657,0.041,86.18
TOI-4794 b,TOI-4794,0.04920,14.359,6390,3.16,543.01
HD 52265 b,HD 52265,0.52000,13.700,6136,1.9815,29.98
TOI-451 d,TOI-451,0.11680,3.930,5490,0.59,123.74
Kepler-974 b,Kepler-974,0.04190,1.570,3687,0.044232,134.31
TOI-5205 b,TOI-5205,0.01990,11.600,3430,0.0194,86.45
Kepler-1008 b,Kepler-1008,0.09755,1.280,5066,0.31138,282.56
Kepler-1373 b,Kepler-1373,0.02598,1.160,6299,5.9372,1699.46
Kepler-172 e,Kepler-172,0.21100,2.760,5526,0.92924,828.59
TOI-1670 b,TOI-1670,0.10300,2.060,6170,2.5145,168.07
TOI-2338 b,TOI-2338,0.15800,11.209,5581,0.97,314.00
Kepler-275 d,Kepler-275,0.22400,3.330,6165,2.8141,2034.25
Kepler-305 e,Kepler-305,0.04017,1.794,4974,0.37742,868.48
TOI-2133 b,TOI-2133,0.04100,2.370,4250,0.14045,75.20
K2-188 b,K2-188,0.02890,1.350,5977,1.6251,446.82
Kepler-32 d,Kepler-32,0.13000,2.700,3900,0.051,323.85
Qatar-3 b,Qatar-3,0.03783,12.285,6007,1.9,735.60
Kepler-1787 b,Kepler-1787,0.22700,2.319,6060,0.79726,778.60
Kepler-1979 b,Kepler-1979,0.13830,29.330,5942,0.80571,1076.27
GJ 849 c,GJ 849,4.95000,13.800,3467,0.025704,8.80
Kepler-231 c,Kepler-231,0.11400,1.930,3767,0.092,316.62
HD 153557 b,HD 153557,0.06800,4.770,4837,0.27385,17.94
Kepler-1939 b,Kepler-1939,0.03340,1.165,4353,0.15564,189.83
Kepler-1170 b,Kepler-1170,0.08800,2.410,5069,0.45878,1050.45
Kepler-245 e,Kepler-245,0.04053,1.750,5174,0.40199,861.53
HD 128356 b,HD 128356,0.87000,13.900,4875,0.36,26.15
HD 219134 f,HD 219134,0.14630,1.310,4699,0.2646,6.53
Kepler-487 c,Kepler-487,0.21864,2.680,5444,0.67191,872.34
Kepler-157 b,Kepler-157,0.02800,1.320,5774,1.2336,773.71
HD 20794 e,HD 20794,0.50900,2.030,5401,0.68689,6.00
Kepler-40 b,Kepler-40,0.08000,13.110,6510,6.5901,2305.01
Kepler-621 b,Kepler-621,0.03100,2.300,4521,0.17418,389.00
Kepler-323 b,Kepler-323,0.02778,1.381,6004,1.4155,454.88
TOI-6651 b,TOI-6651,0.06330,5.090,5940,3.33,212.13
TOI-908 b,TOI-908,0.04166,3.186,5626,0.913,175.75
Kepler-1582 b,Kepler-1582,0.03160,1.490,3208,0.0040866,78.89
HD 177565 b,HD 177565,0.24600,4.000,5627,0.88318,16.92
WASP-90 b,WASP-90,0.05620,18.271,6430,4.2672,466.43
HD 211810 b,HD 211810,2.65600,14.000,5652,1.1749,64.64
K2-133 d,K2-133,0.07487,2.003,3655,0.0332,75.17
GJ 96 b,GJ 96,0.29100,4.670,3785,0.088799,11.93
Kepler-512 b,Kepler-512,0.21395,2.690,5997,1.6453,467.38
K2-138 b,K2-138,0.03385,1.510,5356,0.51696,202.59
HD 191939 e,HD 191939,0.40700,13.000,5348,0.64999,53.61
Kepler-298 c,Kepler-298,0.13600,1.930,4465,0.185,518.20
GJ 896 A b,GJ 896 A,0.63965,13.300,3345,0.01757,6.26
HD 72490 b,HD 72490,1.88000,13.500,4934,12.333,126.34
K2-63 b,K2-63,0.16270,3.220,6771,1.6576,517.53
GJ 433 c,GJ 433,4.81900,6.270,3461,0.02,9.06
HD 12661 c,HD 12661,2.81450,13.200,5748,1.1561,37.85
KOI-351 g,KOI-351,0.71704,7.718,6031,1.8558,848.25
Kepler-1931 b,Kepler-1931,0.23329,2.653,6167,2.9792,620.09
TOI-519 b,TOI-519,0.01590,11.545,3322,0.0141,115.56
Kepler-287 c,Kepler-287,0.24600,3.260,5806,0.73387,835.86
TOI-2578 b,TOI-2578,0.04950,19.661,6333,3.3,285.53
HD 80653 b,HD 80653,0.01661,1.613,5959,1.7378,109.86
Kepler-1067 b,Kepler-1067,0.01640,0.800,5592,0.71244,667.69
Kepler-1753 b,Kepler-1753,0.11790,2.227,5180,0.27547,707.69
Kepler-570 b,Kepler-570,0.04970,2.450,5496,0.5057,568.15
Kepler-1049 b,Kepler-1049,0.03490,0.950,3864,0.072517,162.01
Kepler-663 b,Kepler-663,0.05590,2.600,5264,0.48635,1063.09
TOI-2498 b,TOI-2498,0.04910,6.060,5905,1.8659,275.26
Kepler-762 b,Kepler-762,0.04930,12.680,5944,2.0805,1898.26
CoRoT-30 b,CoRoT-30,0.08440,11.310,5650,0.63602,1032.23
WASP-98 b,WASP-98,0.03762,12.823,5473,0.43873,281.74
Kepler-10 c,Kepler-10,0.24100,2.355,5708,1.1341,185.51
Kepler-337 b,Kepler-337,0.04500,1.540,5684,3.0239,677.98
Kepler-108 b,Kepler-108,0.29200,8.650,5854,5.0933,338.73
2MASS J21252752-8138278 b,2MASS J21252752-8138278,7493.00000,12.400,3592,0.067897,34.12
Kepler-707 b,Kepler-707,0.03250,1.330,5099,0.31521,591.78
Kepler-284 b,Kepler-284,0.10400,2.240,5615,0.45607,1031.95
Kepler-135 c,Kepler-135,0.10300,1.160,6090,2.806,621.86
GJ 3634 b,GJ 3634,0.02870,2.830,3517,0.019999,20.38
Kepler-950 b,Kepler-950,0.39820,8.980,5857,2.2626,2161.60
HD 73526 b,HD 73526,0.65000,13.100,5601,2.1771,97.24
Kepler-102 d,Kepler-102,0.08618,1.154,4909,0.2604,107.80
WASP-47 d,WASP-47,0.08500,3.650,5565,1.0756,264.78
Kepler-959 b,Kepler-959,0.16330,4.380,7005,5.4641,807.73
K2-243 b,K2-243,0.10870,2.170,6570,2.6715,266.86
K2-133 c,K2-133,0.04341,1.603,3655,0.0332,75.17
Kepler-1310 b,Kepler-1310,0.01452,1.440,5549,0.64303,569.18
HIP 74890 b,HIP 74890,2.10000,13.300,4850,16.4,78.66
GJ 15 A c,GJ 15 A,5.40000,6.670,3607,0.022131,3.56
Kepler-1509 b,Kepler-1509,0.17070,1.850,5780,2.5068,2002.96
Kepler-749 b,Kepler-749,0.10540,3.100,5009,0.32039,721.03
HD 102329 b,HD 102329,1.81000,12.600,4745,19.6,217.11
TOI-1194 b,TOI-1194,0.03400,8.717,5394,0.70599,149.67
Barnard d,Barnard's star,0.01880,0.694,3195,0.00355,1.83
Kepler-1951 b,Kepler-1951,0.14350,2.321,5468,3.1704,1277.32
GJ 180 b,GJ 180,0.09200,2.430,3371,0.013,11.94
Kepler-389 b,Kepler-389,0.04100,1.510,5376,0.30487,816.56
HD 20794 d,HD 20794,0.36250,2.040,5368,0.68689,6.00
TOI-837 b,TOI-837,0.08880,9.169,5995,1.34,142.49
Kepler-1877 b,Kepler-1877,0.03472,0.624,5615,0.83711,285.31
Kepler-543 b,Kepler-543,0.10230,2.500,4671,0.22777,221.80
HD 74698 b,HD 74698,0.12100,5.120,5783,1.79,52.06
Kepler-152 c,Kepler-152,0.35600,2.390,5088,0.34286,441.09
Gliese 12 b,Gliese 12,0.06700,0.930,3328,0.00728,12.21
Kepler-266 c,Kepler-266,0.45700,3.890,5885,1.0271,1370.79
TOI-6130 b,TOI-6130,0.03600,14.347,6110,2.89,220.88
rho CrB b,rho CrB,0.22450,13.700,5817,1.706,17.47
Kepler-1531 b,Kepler-1531,0.02204,1.110,6260,2.0121,666.33
K2-12 b,K2-12,0.07920,2.440,5672,1.1798,326.38
GJ 581 b,GJ 581,0.03990,4.790,3500,0.012365,6.30
Kepler-84 c,Kepler-84,0.10720,2.360,6039,2.4547,1023.90
TOI-5210 b,TOI-5210,0.05570,10.727,5723,1.42,302.09
NGTS-30 b,NGTS-30,0.40800,10.402,5455,0.64956,238.38
K2-413 c,K2-413,0.04260,1.233,4116,0.14682,285.16
CoRoT-16 b,CoRoT-16,0.06180,13.110,5650,0.36732,732.41
HD 94890 b,HD 94890,2.07000,13.300,4867,58.01,61.70
TOI-1533 b,TOI-1533,0.04450,2.890,5146,0.45,100.05
HD 31253 b,HD 31253,1.26000,14.100,6130,3.286,58.14
HD 208527 b,HD 208527,2.10000,12.500,4035,729.83,312.20
Kepler-326 b,Kepler-326,0.03200,1.520,5105,0.69732,487.68
HD 153557 d,HD 153557,21.44900,11.900,4837,0.27385,17.94
Kepler-1573 b,Kepler-1573,0.03640,1.200,5808,1.4746,1455.36
HD 70642 b,HD 70642,3.31800,13.000,5732,1.0281,29.28
Kepler-175 b,Kepler-175,0.10500,2.560,6064,1.5632,1312.34
Kepler-375 c,Kepler-375,0.14100,2.650,5826,0.68742,1238.81
LP 890-9 c,LP 890-9,0.03984,1.367,2850,0.001441,32.43
GJ 3998 d,GJ 3998,0.18900,2.340,3726,0.043853,18.15
HD 39194 c,HD 39194,0.10830,2.650,5205,0.39,26.41
Kepler-1044 b,Kepler-1044,0.07410,2.670,5985,1.074,1278.96
K2-189 c,K2-189,0.06800,2.310,5442,0.60457,242.11
HD 205158 b,HD 205158,0.17700,13.900,6134,4.4943,86.62
Kepler-1714 b,Kepler-1714,0.10549,3.264,6150,5.7555,409.46
HD 219134 h,HD 219134,3.11000,12.700,4913,0.31,6.53
TOI-470 b,TOI-470,0.11900,4.340,5190,0.43854,130.46
Kepler-1241 b,Kepler-1241,0.13360,2.630,5261,0.47383,968.72
Kepler-164 b,Kepler-164,0.05800,1.410,5888,1.2969,890.76
WASP-116 b,WASP-116,0.06500,13.675,6250,3.135,559.24
WASP-193 b,WASP-193,0.06680,14.785,6080,1.82,362.09
TOI-1898 b,TOI-1898,0.26900,9.396,6241,3.558,79.67
Kepler-1820 b,Kepler-1820,0.19640,3.119,5841,0.95056,1425.39
HIP 8152 b,HIP 8152,0.09300,2.536,5618,0.831,101.69
Kepler-1722 b,Kepler-1722,0.08190,2.867,5506,0.67666,772.28
TOI-1937 A b,TOI-1937 A,0.01932,13.978,5814,1.202,415.13
Kepler-1388 d,Kepler-1388,0.12600,2.860,4098,0.078199,453.80
Kepler-1130 c,Kepler-1130,0.04238,0.792,5450,0.55,249.34
Kepler-114 b,Kepler-114,0.05300,1.260,4605,0.2064,259.53
HD 20782 b,HD 20782,1.36490,13.600,5782,1.2786,35.99
Kepler-410 A b,Kepler-410 A,0.12260,2.838,6273,2.7227,147.53
Kepler-254 b,Kepler-254,0.06400,3.870,5957,0.75005,1389.48
Kepler-1113 b,Kepler-1113,0.24150,2.810,5931,1.2021,1073.88
Kepler-841 b,Kepler-841,0.47900,5.230,5324,0.43427,998.96
Kepler-331 b,Kepler-331,0.06500,1.820,4347,0.1646,580.12
Kepler-25 d,Kepler-25,0.41642,10.000,6354,2.64,243.25
Kepler-1792 b,Kepler-1792,0.04880,2.520,5229,0.31027,601.03
HD 136418 b,HD 136418,1.29000,13.300,4989,6.8,105.17
Kepler-1485 b,Kepler-1485,0.14732,1.470,6087,1.9057,615.66
HD 16417 b,HD 16417,0.14000,5.000,5841,2.7744,25.39
Kepler-142 b,Kepler-142,0.03200,1.990,5790,1.2796,548.69
TOI-1288 c,TOI-1288,1.07000,11.100,5388,0.7,114.86
Kepler-103 b,Kepler-103,0.13300,3.486,6047,2.6565,494.83
Kepler-1415 b,Kepler-1415,0.01416,1.290,5267,0.50457,1043.56
GJ 1002 c,GJ 1002,0.07380,1.100,3024,0.001406,4.85
TOI-1338 b,TOI-1338 A,0.46070,7.661,5723,2.1329,399.02
Kepler-662 b,Kepler-662,0.14080,2.180,4897,0.44099,815.64
TOI-1235 b,TOI-1235,0.03845,1.690,3997,0.0883,39.63
HD 68475 b,HD 68475,7.27000,12.800,5022,0.35841,33.43
TOI-663 d,TOI-663,0.05760,1.920,3681,0.042626,64.23
Kepler-754 b,Kepler-754,0.11600,2.010,5935,2.6034,1770.27
HD 207897 b,HD 207897,0.11700,2.343,5106,0.379,28.29
Kepler-1667 b,Kepler-1667,0.35905,2.984,5942,1.3279,626.82
TOI-905 b,TOI-905,0.04666,13.126,5570,0.73,158.65
Kepler-1468 d,Kepler-1468,0.14560,3.332,5794,3.3977,1899.24
TOI-2267 c,TOI-2267 A,0.02630,1.140,3030,0.0033,22.55
TOI-2000 c,TOI-2000,0.08780,8.140,5611,1.147,175.71
TOI-1333 b,TOI-1333,0.06260,15.648,6274,5.17,200.49
HD 75898 b,HD 75898,1.20250,13.200,6122,2.884,78.05
Kepler-275 c,Kepler-275,0.13200,3.380,6165,2.8141,2034.25
Kepler-1459 b,Kepler-1459,0.28290,1.360,4828,0.29973,455.48
BD-210397 c,BD-210397,5.90000,12.900,4051,0.135,23.73
Kepler-671 b,Kepler-671,0.05030,2.690,5624,0.83012,1168.26
Kepler-519 b,Kepler-519,0.15932,2.100,5260,0.46273,246.61
K2-24 b,K2-24,0.15400,5.400,5625,1.44,170.56
HD 1397 b,HD 1397,0.10970,11.500,5521,4.57,79.57
Kepler-320 b,Kepler-320,0.08500,1.140,6435,2.367,826.61
Kepler-1769 b,Kepler-1769,0.40598,4.465,6071,1.6415,438.41
Kepler-1726 b,Kepler-1726,0.12794,2.509,5316,0.42683,390.55
HD 42618 b,HD 42618,0.55400,3.890,5727,0.98001,24.34
GJ 338 B b,GJ 338 B,0.14200,3.250,4014,0.079201,6.33
