planeta,estrela,a_UA,R_Rterra,Teff_K,L_Lsol,distancia_pc
TOI-1782.01,TOI-1782,0.05024,2.368,4336,0.1424,95.26
Kepler-855 b,Kepler-855,0.07620,8.350,5835,2.153,1506.58
Kepler-24 e,Kepler-24,0.13800,2.780,5897,1.1588,1156.81
Kepler-1435 b,Kepler-1435,0.05456,0.860,6356,2.9397,704.21
Kepler-1771 b,Kepler-1771,0.38150,4.055,5661,0.80835,565.75
Kepler-338 b,Kepler-338,0.11700,2.440,5923,3.8521,552.80
HD 5583 b,HD 5583,0.53000,12.800,4830,40.738,219.22
HD 188641 b,HD 188641,12.02700,11.900,5897,4.1221,64.34
K2-39 b,K2-39,0.05708,6.277,4881,4.7216,307.47
Kepler-1872 b,Kepler-1872,0.04650,2.384,5223,0.31216,840.18
GSC 06214-00210 b,GSC 06214-00210,320.00000,20.176,4200,0.38019,108.50
K2-130 b,K2-130,0.03200,1.250,4356,0.15888,118.01
HD 89839 b,HD 89839,4.71300,12.800,6314,2.3702,57.31
Kepler-106 e,Kepler-106,0.24006,2.560,5858,1.2093,444.32
Kepler-430 c,Kepler-430,0.47570,1.750,5884,2.0515,917.48
Ross 508 b,Ross 508,0.05366,1.830,3071,0.003589,11.21
Kepler-869 b,Kepler-869,0.22440,3.610,5664,0.77541,939.46
GJ 2126 b,GJ 2126,0.71000,13.600,4159,0.1428,38.13
HATS-72 b,HATS-72,0.06652,8.097,4656,0.2193,127.59
WASP-46 b,WASP-46,0.02335,13.159,5600,0.77423,375.31
Kepler-932 b,Kepler-932,0.02876,1.370,5331,0.47669,465.61
HD 1605 b,HD 1605,1.49200,13.800,4915,6.4565,88.80
Kepler-1206 b,Kepler-1206,0.02010,1.640,4877,0.24012,762.02
Kepler-520 b,Kepler-520,0.14628,1.660,6112,3.2383,623.90
Kepler-27 c,Kepler-27,0.19100,4.900,5400,0.46837,1044.36
Kepler-1250 b,Kepler-1250,0.03930,1.920,5717,2.2006,2126.85
TOI-2141 b,TOI-2141,0.13220,3.147,5635,0.89125,77.68
GJ 317 b,GJ 317,1.13800,13.300,3496,0.020576,15.20
Kepler-1851 b,Kepler-1851,0.10160,3.900,5982,1.1483,1589.81
Kepler-350 b,Kepler-350,0.10400,1.850,6186,2.6818,956.86
K2-414 c,K2-414,0.05520,1.929,4343,0.19707,260.04
K2-148 b,K2-148,0.04540,1.330,4079,0.101,124.46
Kepler-633 b,Kepler-633,0.08185,1.630,5899,1.4454,680.54
Kepler-61 b,Kepler-61,0.24861,2.150,4017,0.107,335.08
TOI-4562 b,TOI-4562,0.76800,12.530,6096,1.79,339.61
Kepler-1154 c,Kepler-1154,0.08750,2.360,6327,2.8297,1460.10
Kepler-241 c,Kepler-241,0.18900,2.570,4699,0.24701,512.00
Kepler-863 b,Kepler-863,0.12200,2.900,5678,1.6411,1499.66
CoRoT-35 b,CoRoT-35,0.04290,18.831,6390,2.3039,1123.21
Kepler-1127 b,Kepler-1127,0.05560,1.960,5664,0.55067,842.46
Kepler-51 d,Kepler-51,0.50900,9.700,6018,0.72161,783.83
Kepler-1234 b,Kepler-1234,0.09600,2.810,4967,0.35167,916.75
HAT-P-27 b,HAT-P-27,0.04000,11.430,5316,0.53795,199.17
Kepler-1934 b,Kepler-1934,0.02466,0.913,5925,1.2838,428.51
GJ 3090 b,GJ 3090,0.03160,2.180,3707,0.0455,22.48
Kepler-1344 b,Kepler-1344,0.05501,1.840,5981,1.3996,853.96
Kepler-1124 b,Kepler-1124,0.03050,1.280,3658,0.047482,289.90
Kepler-117 c,Kepler-117,0.28040,12.341,6150,3.4495,1455.57
K2-97 b,K2-97,0.08540,13.451,4673,7.36,878.43
