planeta,tempo_desde_meio_transito_h,fluxo_relativo
HAT-P-7 b,-2.73703,0.9999176
HAT-P-7 b,-2.72068,0.9997211
HAT-P-7 b,-2.70433,0.9999089
HAT-P-7 b,-2.68799,1.0000301
HAT-P-7 b,-2.67164,1.0001220
HAT-P-7 b,-2.65529,1.0000171
HAT-P-7 b,-2.63895,1.0000249
HAT-P-7 b,-2.62260,0.9998064
HAT-P-7 b,-2.60625,1.0000482
HAT-P-7 b,-2.58991,0.9999543
HAT-P-7 b,-2.57356,0.9997007
HAT-P-7 b,-2.55722,0.9999415
HAT-P-7 b,-2.54087,0.9999062
HAT-P-7 b,-2.52452,1.0000083
HAT-P-7 b,-2.50817,1.0001349
HAT-P-7 b,-2.49183,0.9997578
HAT-P-7 b,-2.47548,0.9997655
HAT-P-7 b,-2.45913,0.9998494
HAT-P-7 b,-2.44278,1.0001646
HAT-P-7 b,-2.42644,0.9998976
HAT-P-7 b,-2.41009,1.0000019
HAT-P-7 b,-2.39375,0.9999000
HAT-P-7 b,-2.37740,1.0002263
HAT-P-7 b,-2.36105,0.9999481
HAT-P-7 b,-2.34470,0.9999073
HAT-P-7 b,-2.32836,0.9998446
HAT-P-7 b,-2.31201,0.9999782
HAT-P-7 b,-2.29566,0.9999401
HAT-P-7 b,-2.27932,1.0004347
HAT-P-7 b,-2.26297,1.0002249
HAT-P-7 b,-2.24662,0.9999554
HAT-P-7 b,-2.23028,0.9995430
HAT-P-7 b,-2.21393,0.9998705
HAT-P-7 b,-2.19758,0.9997448
HAT-P-7 b,-2.18124,1.0001917
HAT-P-7 b,-2.16489,0.9999924
HAT-P-7 b,-2.14854,0.9998040
HAT-P-7 b,-2.13220,0.9999305
HAT-P-7 b,-2.11585,0.9997268
HAT-P-7 b,-2.09950,0.9999014
HAT-P-7 b,-2.08316,0.9998689
HAT-P-7 b,-2.06681,0.9999380
HAT-P-7 b,-2.05046,0.9999733
HAT-P-7 b,-2.03412,1.0001755
HAT-P-7 b,-2.01777,1.0000681
HAT-P-7 b,-2.00143,0.9998700
HAT-P-7 b,-1.98508,0.9998839
HAT-P-7 b,-1.96873,1.0002096
HAT-P-7 b,-1.95238,0.9998196
HAT-P-7 b,-1.93604,0.9997606
HAT-P-7 b,-1.91969,0.9995862
HAT-P-7 b,-1.90334,0.9992693
HAT-P-7 b,-1.88700,0.9991039
HAT-P-7 b,-1.87065,0.9992153
HAT-P-7 b,-1.85430,0.9984743
HAT-P-7 b,-1.83796,0.9987468
HAT-P-7 b,-1.82161,0.9981768
HAT-P-7 b,-1.80526,0.9982194
HAT-P-7 b,-1.78891,0.9980656
HAT-P-7 b,-1.77257,0.9978591
HAT-P-7 b,-1.75622,0.9976460
HAT-P-7 b,-1.73988,0.9971545
HAT-P-7 b,-1.72353,0.9966283
HAT-P-7 b,-1.70718,0.9965841
HAT-P-7 b,-1.69083,0.9961084
