pulsar,P_s,Pponto_s_por_s,distancia_kpc
J1428-5530,0.570290463,2.0805e-15,2.29
J1429-5911,0.11584261,3.0500e-14,
J1429-5935,0.763914831,4.2751e-14,10.62
J1430-6623,0.785440757,2.7695e-15,1.80
J1431-4715,0.00201195344,1.4110e-20,2.42
J1431-5740,0.00411054396,6.4200e-21,4.07
J1432-5032,2.03498948,5.9240e-15,5.72
J1433-6038,1.95442964,5.6300e-15,9.74
J1434-6006,0.306367863,3.0200e-15,7.25
J1434-6029,0.963348323,1.0300e-15,5.78
J1434+7257,0.0417411478,5.5000e-19,0.75
J1435-5954,0.472995436,1.5433e-15,1.46
J1435-6100,0.00934797221,2.4500e-20,3.25
J1437-5959,0.0616961234,8.5870e-15,11.12
J1437-6146,0.467616323,6.3304e-15,4.77
J1439-5501,0.0286348882,1.4180e-19,0.76
J1440-6344,0.459605364,1.1201e-15,4.03
J1441-6137,1.17584002,3.6000e-16,4.44
J1443-5122,0.732061265,3.3800e-16,3.17
J1444-5941,2.76022794,8.2000e-15,4.38
J1444-6026,4.75857557,1.8542e-14,8.78
J1446-4701,0.00219469578,9.8102e-21,2.03
J1449-5846,0.463329577,8.6000e-17,4.74
J1452-5851,0.386625017,5.0706e-14,5.64
J1452-6036,0.154991358,1.4499e-15,9.44
J1453+1902,0.00579230273,1.1620e-20,0.95
J1453-6413,0.179484754,2.7461e-15,2.80
J1454-5846,0.045248773,8.1700e-19,3.32
J1455-3330,0.0079872048,2.4280e-20,0.74
J1456-6843,0.263376815,9.8260e-17,0.43
J1457-5122,1.74830108,5.2900e-15,1.37
J1457-5900,1.49863744,3.6600e-15,4.25
J1457-5902,0.390739364,1.2306e-14,11.33
J1459-6053,0.103150638,2.5270e-14,
J1501-0046,0.464036814,2.3910e-16,2.37
J1501-5637,0.782948566,1.7000e-16,6.75
J1502-5653,0.535504398,1.8286e-15,4.51
J1502-5828,0.668105151,3.6400e-14,12.21
J1502-6128,0.84210384,1.3480e-15,7.88
J1502-6752,0.0267444238,3.1450e-19,11.57
J1503+2111,3.3140015,1.4000e-16,0.72
J1504-5621,0.4129852,5.5290e-15,3.93
J1506-5158,0.840738545,6.3700e-15,1.67
J1507-4352,0.286757045,1.6045e-15,1.79
J1507-6640,0.355654901,1.1570e-15,5.62
J1509+5531,0.739681923,4.9982e-15,2.10
J1509-5850,0.0889217605,9.1698e-15,3.85
J1509-6015,0.339038449,2.1210e-15,13.63
J1510-4422,0.943871297,6.1000e-16,4.22
J1511-5414,0.200383696,4.8480e-16,2.24
J1511-5835,0.30151055,3.4400e-16,7.10
J1512-5431,2.04053157,1.9200e-15,6.61
J1512-5759,0.128694148,6.8512e-15,12.70
J1513-5739,0.973458035,2.7550e-14,9.84
J1513-5908,0.151251258,1.5315e-12,4.40
J1513-5946,1.04611716,8.5284e-15,4.26
J1514-4834,0.454839209,9.2500e-16,1.59
J1514-4946,0.00358933668,1.8646e-20,1.27
J1514-5925,0.148796488,2.8829e-15,4.50
J1515-5720,0.286646197,6.0980e-15,10.32
J1517-4356,0.650836872,2.1550e-16,4.44
J1517-4636,0.886612497,2.0980e-15,10.98
J1518+0204A,0.00555359252,4.1220e-20,8.00
J1518+0204C,0.00248392757,2.6069e-20,8.00
J1518-0627,0.794996675,4.1790e-16,2.69
J1518+4904,0.0409349889,2.7190e-20,0.70
J1518-5415,0.2149248,4.0600e-17,4.26
J1519-5734,0.518757785,4.2730e-15,13.12
J1519-6106,2.15430706,8.3720e-15,7.23
J1519-6308,1.25405163,5.9600e-15,17.81
J1522-5525,1.38960469,3.3000e-15,1.89
J1522-5735,0.102135981,3.1239e-14,
J1522-5829,0.39535286,2.0035e-15,4.47
J1524-5625,0.0782185489,3.8950e-14,3.84
J1524-5706,1.11604862,3.5647e-13,21.59
J1524-5819,0.961042627,1.2602e-13,10.87
J1525-5417,1.01169422,1.6174e-14,6.01
J1525-5523,0.355156037,8.9600e-18,3.50
J1525-5545,0.0113598818,1.3140e-19,3.53
J1525-5605,0.280348662,1.1600e-16,6.77
J1526-5633,0.301887897,1.2300e-16,6.44
J1527-3931,2.41758227,1.9070e-14,2.01
J1527-5552,1.04870489,1.1280e-14,7.15
J1528-3146,0.0608222304,2.4900e-19,0.99
J1528-4109,0.526556139,3.9550e-16,5.96
J1528-5547,3.46730152,7.7500e-15,5.55
J1529-3828,0.00848628212,2.7000e-20,4.85
J1529-5355,0.89126454,8.1000e-16,7.75
J1529-5611,0.822248731,4.1000e-15,3.77
J1530-5327,0.278956721,4.6830e-15,1.46
J1531-4012,0.356849313,9.6300e-17,7.75
J1531-5610,0.0842016829,1.3741e-14,3.10
J1532+2745,1.12483574,7.7956e-16,0.98
J1532-5308,0.443824608,6.5000e-17,4.45
J1534-4428,1.22142596,1.8000e-16,10.94
J1534-5334,1.36888091,1.4260e-15,1.13
J1534-5405,0.289688895,1.5429e-15,4.26
J1535-4114,0.432866134,4.0705e-15,2.80
J1535-4415,0.468401604,4.0500e-17,5.38
J1535-5450,0.566734157,1.4338e-14,4.63
J1535-5848,0.307177663,2.7160e-15,3.13
J1536-3602,1.31975904,7.9000e-16,6.45
J1536-5433,0.881438431,1.9100e-15,3.72
J1536-5907,0.55784066,1.3660e-15,12.09
J1537+1155,0.0379044412,2.4225e-18,1.05
J1537-4912,0.301310775,1.9320e-15,1.82
J1537-5153,1.52812411,4.1720e-15,2.63
J1537-5645,0.430464124,2.7800e-15,24.59
J1538+2345,3.44938495,6.8890e-15,0.98
J1538-5438,0.276726137,1.4200e-15,3.60
J1538-5519,0.395730639,4.1000e-17,9.70
J1538-5551,0.104674921,3.2082e-15,10.40
J1538-5621,1.90849449,7.3118e-15,3.76
J1538-5638,0.843980397,7.1200e-15,12.94
J1538-5732,0.341212812,4.5498e-15,3.88
J1538-5750,0.506568335,4.2000e-17,2.41
J1539-4828,1.2728416,1.2670e-15,3.74
J1539-5521,1.00495832,7.2800e-16,6.84
J1539-5626,0.2433922,4.8493e-15,4.00
J1539-6322,1.63084631,2.0160e-16,7.75
J1540-5736,0.612916286,4.2000e-16,8.17
J1541-5535,0.295837553,7.5020e-14,7.46
J1542-5034,0.599245036,3.9680e-15,2.58
J1542-5133,1.78386499,5.9000e-16,4.87
J1542-5303,1.20756777,7.7800e-14,6.02
J1543-0620,0.70906407,8.7954e-16,1.27
J1543+0929,0.748448416,4.3248e-16,5.90
J1543-5013,0.644255065,1.0132e-14,6.76
J1543-5149,0.00205696039,1.6159e-20,1.46
J1543-5459,0.377118563,5.2018e-14,6.32
J1544+4937,0.00215928839,2.9330e-21,2.30
J1544-5308,0.1785538,6.0700e-17,1.29
J1545-4550,0.00357528862,5.2500e-20,2.01
J1546-5302,0.580839886,1.1800e-14,6.10
J1547-0944,1.57692463,2.9380e-15,3.18
J1547-5750,0.647197747,2.6000e-17,3.91
J1547-5839,0.242190324,5.9400e-16,7.19
J1548-4821,0.145654719,8.0000e-19,3.76
J1548-4927,0.602738078,4.0470e-15,3.89
J1548-5607,0.170933993,1.0736e-14,6.95
J1549+2113,1.26247131,8.5410e-16,2.33
J1549-4848,0.288346763,1.4109e-14,1.54
J1549-5722,0.497772394,4.7000e-17,2.93
J1550-5242,0.74965895,1.7774e-14,6.67
J1550-5317,1.42112435,9.3500e-16,8.45
J1550-5418,2.06983302,2.3180e-11,4.00
J1551-4424,0.674060361,1.8800e-16,1.98
J1551-5310,0.453394165,1.9513e-13,7.52
J1552-4937,0.00628431138,1.9000e-20,3.36
J1553-5456,1.08132825,1.5650e-14,4.80
J1554-5209,0.125229558,2.2944e-15,3.44
J1554-5512,3.41803931,3.1200e-14,8.05
J1555-0515,0.975409891,2.0540e-15,1.66
J1555-2341,0.532577741,6.9370e-16,4.61
J1555-3134,0.51810978,6.2232e-17,6.10
J1556-5358,0.994680687,1.0420e-14,6.96
J1557-4258,0.329186858,3.3012e-16,7.53
J1558-5419,0.594575264,6.0400e-15,9.09
J1558-5756,1.12234169,1.8641e-13,3.74
J1559-4438,0.257056098,1.0192e-15,2.30
J1559-5545,0.957242442,2.0479e-14,5.09
J1600-3053,0.00359792851,9.4998e-21,1.80
J1600-5044,0.192601233,5.0623e-15,6.90
J1600-5751,0.194454482,2.1252e-15,5.32
J1600-5916,1.24766617,8.9000e-16,6.54
J1601-5244,2.55935663,7.2000e-16,5.14
J1601-5335,0.288456512,6.2371e-14,4.04
J1602-4957,0.819990037,1.5940e-14,6.83
J1602-5100,0.86422736,6.9580e-14,8.00
J1603-2531,0.283070377,1.5922e-15,4.60
J1603-2712,0.778313193,3.0094e-15,2.58
J1603-3539,0.141908589,1.2425e-16,3.83
J1603-5657,0.496077113,2.7950e-15,8.52
J1603-7202,0.0148419523,1.5630e-20,0.53
J1604-4718,0.527465874,4.9610e-15,1.48
J1604-4909,0.327417573,1.0194e-15,3.59
J1604-7203,0.341402932,8.4000e-17,2.56
J1605-5215,1.01360875,4.7500e-15,7.06
J1605-5257,0.658013101,2.5600e-16,1.28
J1607-0032,0.421816234,3.0609e-16,0.61
J1607-5140,0.342722792,2.5400e-15,7.01
J1607-6449,0.298116358,2.4900e-17,3.82
J1609-1930,1.55791725,5.0900e-16,2.33
J1609-4616,0.249608955,5.0100e-16,4.12
J1609-5158,1.27940235,1.2960e-14,12.73
J1610-1322,1.01839275,2.2984e-16,3.89
J1610-5006,0.481118852,1.3625e-14,6.59
J1610-5303,0.786468024,2.6150e-15,6.60
J1611-4811,1.29685024,1.9500e-15,5.41
J1611-4949,0.666437923,5.4000e-16,8.82
J1611-5209,0.182491659,5.1658e-15,3.33
J1611-5847,0.354550317,2.0000e-18,2.33
J1612+2008,0.426645981,3.7270e-17,1.43
J1612-2408,0.923833711,1.5736e-15,3.12
J1612-5136,0.483310511,3.7840e-15,18.18
J1612-5805,0.615520458,9.3470e-16,6.29
J1613-4714,0.382375953,6.3200e-16,3.89
J1613-5211,0.457501818,1.9231e-14,6.14
J1613-5234,0.655220596,6.6290e-15,9.94
J1614+0737,1.20680144,2.3596e-15,1.77
J1614-2230,0.00315080765,9.6216e-21,0.70
J1614-3937,0.407292274,1.5851e-16,10.10
J1614-5048,0.231693836,4.9494e-13,7.24
J1614-5144,1.53400814,7.4400e-15,9.56
J1614-5402,0.572592272,2.9000e-17,6.96
J1615-2940,2.47756787,1.5844e-15,1.88
J1615-5444,0.360957675,3.3770e-16,8.40
J1615-5537,0.791525716,1.9993e-15,3.57
J1616-5017,0.491384122,4.6592e-14,3.92
J1616-5109,1.21959388,1.9080e-14,18.97
J1616-5208,1.02583089,2.8910e-14,7.38
J1617-4216,3.42846631,1.8129e-14,6.28
J1617-4608,0.567080222,1.6467e-14,10.59
J1617-5055,0.069356847,1.3510e-13,6.46
J1618-4723,0.203552878,1.9926e-15,3.42
J1620-4927,0.171934652,1.0488e-14,
J1620-5414,1.15636029,6.7000e-17,1.73
J1621-5039,1.08401994,1.3030e-14,4.88
J1621-5243,0.371924139,7.6800e-16,7.76
J1622-3751,0.731462723,2.5700e-15,11.55
J1622-4332,0.916937523,1.5649e-15,8.32
J1622-4347,0.457681471,5.0510e-15,5.37
J1622-4802,0.265072236,3.0700e-16,6.00
J1622-4845,0.735091648,1.1000e-16,5.24
J1622-4944,1.07296789,1.7080e-14,8.55
J1622-4950,4.3261,1.7000e-11,9.14
J1622-6617,0.0236234447,5.8800e-20,4.66
J1623-0841,0.503014998,1.9580e-15,3.83
J1623-0908,1.27644582,2.5807e-15,3.86
J1623-2631,0.0110757509,6.7093e-19,1.80
J1623-4256,0.364590355,1.0220e-15,21.85
J1623-4949,0.725732155,4.2090e-14,3.76
J1624-4411,0.233164076,7.9920e-16,3.64
J1624-4613,0.871242606,6.1000e-17,5.14
J1624-4721,0.448723249,4.1480e-15,6.11
J1625-4048,2.35527819,4.4300e-16,5.18
J1625-4904,0.460339492,1.6762e-14,7.94
J1625-4913,0.355856263,6.6470e-15,8.21
J1626-4537,0.370141128,8.2788e-15,5.41
J1626-4807,0.293928189,1.7476e-14,10.25
J1626-6621,0.450867766,7.6640e-16,4.42
J1627+1419,0.49085673,3.9300e-16,2.84
J1627-4706,0.140745806,1.7305e-15,7.15
J1627-4845,0.61233065,3.6410e-15,6.86
J1627-5547,0.352464213,7.3800e-16,5.66
J1627-5936,0.354233941,8.0000e-18,3.67
J1628-4804,0.865970963,1.2400e-15,11.21
J1628-4828,4.13753852,1.7530e-14,14.29
J1629-3636,2.98819269,7.0000e-15,3.74
J1629-6902,0.00600060344,1.0000e-20,1.36
J1630-4719,0.559071333,1.4178e-14,6.70
J1630-4733,0.575971412,2.2287e-14,6.53
J1631-1612,0.677683912,1.0960e-15,1.85
J1631-4155,0.551241254,8.8000e-18,8.51
J1632-1013,0.717637328,6.6000e-17,4.22
J1632-4509,1.04680988,1.4880e-14,9.13
J1632-4621,1.7091545,7.6020e-14,8.42
J1632-4757,0.228564098,1.5075e-14,6.96
J1632-4818,0.813452834,6.5043e-13,8.54
J1633-2009,0.935557045,1.0700e-15,2.76
J1633-4453,0.436506697,6.2026e-15,11.93
J1633-4805,0.710830079,7.6893e-14,11.90
J1633-5015,0.35214238,3.7877e-15,7.02
J1634-5107,0.507356003,1.5745e-15,9.30
J1634-5640,0.224201191,4.1000e-17,5.71
J1635-1511,1.17938704,2.3200e-16,4.89
J1635+2418,0.490506513,1.1932e-16,2.27
J1635-4513,1.59474555,3.6000e-15,6.96
J1635-4944,0.671964199,8.7900e-15,8.85
J1635-5954,0.529121257,1.3680e-15,7.26
J1636-4440,0.206648509,4.6715e-14,9.33
J1636-4803,1.20464389,2.0710e-14,6.53
J1636-4933,0.430366558,1.5060e-15,11.16
J1637-4335,0.77136654,3.6200e-15,30.00
J1637-4450,0.252869847,5.7550e-16,8.20
J1637-4553,0.118771393,3.1879e-15,3.83
J1637-4642,0.154027428,5.9204e-14,5.77
J1637-4721,1.16574139,4.4400e-15,5.94
J1637-4816,0.837365302,5.8340e-15,10.01
J1638-3815,0.698260601,7.7000e-17,17.54
J1638-3951,0.77113024,5.9000e-16,10.96
J1638-4344,1.12194419,2.5000e-17,5.09
J1638-4417,0.117801551,1.6053e-15,8.46
J1638-4608,0.278137287,5.1504e-14,5.85
J1638-4725,0.7639335,4.8000e-15,6.87
J1638-5226,0.340502709,2.6500e-15,4.88
J1639-4359,0.587558978,1.5000e-17,5.23
J1639-4604,0.529115851,5.7758e-15,4.64
J1640+2224,0.00316331582,2.8276e-21,1.45
J1640-4631,0.206443048,9.7600e-13,12.75
J1640-4648,0.178352043,8.0610e-16,6.10
J1640-4715,0.517404835,4.2027e-14,7.25
J1640-4951,0.739098946,3.3400e-16,10.66
J1641-2347,1.09100843,4.1100e-17,1.33
J1643-1224,0.00462164152,1.8462e-20,0.74
J1643-4505,0.237383082,3.1833e-14,6.30
J1643-4522,1.34789947,8.2830e-15,6.19
J1643-4550,0.71750809,2.9974e-14,5.88
J1644-4559,0.455059775,2.0090e-14,4.50
J1644-4657,0.125962232,7.5000e-16,9.58
J1645-0317,0.387689698,1.7804e-15,2.61
J1645+1012,0.410860719,8.1300e-17,3.27
J1646-4308,0.840679981,1.1000e-16,10.96
J1646-4346,0.231603329,1.1275e-13,6.86
J1646-5123,0.530075207,2.0990e-15,10.92
J1646-6831,1.78561124,1.7000e-15,1.80
J1647-3607,0.212316409,1.2900e-16,12.90
J1647-4552,10.6106563,8.3000e-13,
J1648-3256,0.719454779,3.5306e-15,5.30
J1648-4458,0.629631536,1.8540e-15,9.89
J1648-4611,0.164949668,2.3746e-14,5.71
J1648-6044,0.583764997,4.2900e-16,5.66
J1649+2533,1.01525739,5.5940e-16,2.91
J1649-3805,0.262025693,3.6700e-17,6.62
J1649-3935,0.770909761,3.9100e-17,9.04
J1649-4349,0.870711559,4.4000e-17,5.56
J1649-4653,0.557018758,4.9740e-14,5.63
J1649-4729,0.2976922,6.5500e-15,12.69
J1649-5553,0.613570704,1.6980e-15,14.07
J1650-1654,1.74955175,3.2027e-15,2.15
J1650-4126,0.308917679,1.9800e-17,5.06
J1650-4341,0.309398366,1.6690e-17,8.11
J1650-4502,0.380869799,1.6061e-14,5.09
J1650-4921,0.156399367,1.8187e-15,5.83
J1651-1709,0.973393692,3.0371e-15,1.62
J1651-4246,0.844080666,4.8120e-15,5.20
J1651-4519,0.517443204,8.1900e-15,7.29
J1651-5222,0.635055976,1.8120e-15,6.39
J1651-5255,0.890533958,2.0700e-15,5.99
J1651-7642,1.75531108,1.3630e-15,5.16
J1652-1400,0.305447058,1.7580e-17,3.10
J1652-2404,1.70373914,3.1588e-15,3.10
J1652+2651,0.915803497,6.5370e-16,2.93
J1652-4406,7.70718301,9.5000e-15,8.80
J1653-2054,0.00412914528,1.1170e-20,2.64
J1653-3838,0.305037319,2.7860e-15,5.12
J1653-4030,1.01937156,4.4000e-16,10.37
J1653-4249,0.612558241,4.8100e-15,5.64
J1653-4315,0.419279741,1.5000e-17,5.13
J1653-4854,3.0595096,3.4500e-15,13.76
J1654-2713,0.791822442,1.6759e-16,4.08
J1654-3710,0.939165479,7.3500e-16,13.15
J1654-4140,1.27394513,1.3000e-16,5.15
J1654-4245,1.10155469,5.1150e-14,11.84
J1655-3048,0.542935874,3.6600e-17,8.57
J1655-3844,1.1934392,2.0000e-15,11.94
J1656-3621,0.730133707,1.2752e-15,7.60
J1657-4432,0.609607142,8.2050e-15,5.58
J1658-4306,1.166449,4.2790e-14,9.59
J1658-4958,0.41687377,3.8560e-15,6.26
J1658-5324,0.00243929591,1.1154e-20,1.24
J1659-1305,0.6409582,6.1770e-16,4.85
J1659-4316,0.474381435,1.7100e-16,7.93
J1659-4439,0.353293033,2.5000e-17,9.18
J1700-3312,1.35830701,4.7128e-15,5.64
J1700-3611,1.49409062,4.3240e-15,6.48
J1700-3919,0.560503533,5.0000e-18,6.34
J1700-4012,0.283791854,9.9000e-17,5.77
J1700-4422,0.755535409,4.0000e-17,6.44
J1700-4939,0.578363439,1.0780e-15,14.53
J1701-3006D,0.00341777045,1.2570e-19,7.05
J1701-3006E,0.00323373733,3.1030e-19,7.05
J1701-3006F,0.00229472708,2.2210e-19,7.05
J1701-3130,0.291341471,5.5960e-17,4.53
J1701-3726,2.45460916,1.1143e-14,7.81
J1701-4533,0.322908567,5.1930e-16,17.39
J1701-4958,0.804304237,1.1000e-16,9.68
J1702-3932,0.390327977,3.7800e-16,9.69
J1702-4128,0.182135803,5.2345e-14,5.18
J1702-4217,0.227564958,1.1400e-17,7.49
J1702-4306,0.215507334,9.7852e-15,7.12
J1702-4310,0.240523865,2.2378e-13,5.44
J1702-4428,2.1235057,3.3000e-15,7.05
J1703-1846,0.804341079,1.7310e-15,2.05
J1703-3241,1.21178509,6.5983e-16,3.31
J1703-4442,1.74729349,1.4300e-14,5.34
J1703-4851,1.39640108,5.0804e-15,4.50
J1704-6016,0.306323025,9.1000e-16,1.89
J1705-1906,0.298987427,4.1379e-15,1.18
J1705-3423,0.255426484,1.0762e-15,3.75
J1705-3936,0.854481664,1.9270e-14,8.46
J1705-3950,0.318941483,6.0603e-14,3.86
J1705-4108,0.861067407,3.4710e-14,11.87
J1705-4331,0.222561103,7.1200e-17,3.76
J1705-6135,0.808546089,6.0000e-17,6.31
J1706-3839,0.586287401,3.0000e-15,12.20
J1706-4310,0.616979044,6.5060e-15,13.43
J1706-6118,0.361921325,2.9213e-16,3.64
J1707-4053,0.581016708,1.9250e-15,4.00
J1707-4341,0.890594496,5.6960e-15,7.99
J1707-4417,5.763777,1.1650e-14,9.17
J1707-4729,0.266473637,1.5603e-15,10.64
J1708-3426,0.692113247,4.2032e-15,4.78
J1708-3506,0.00450515895,1.1421e-20,3.50
J1708-3641,0.587566794,1.3490e-16,6.02
J1708-3827,1.225782,8.6000e-15,17.55
J1708-4008,11.0062624,1.9600e-11,3.80
J1708-4522,1.29783684,2.6120e-15,30.00
J1708-7539,1.191024,1.8800e-15,2.01
J1709-1640,0.653053971,6.3098e-15,2.61
J1709+2313,0.00463119628,3.6300e-21,1.83
J1709-3626,0.44785706,2.2675e-15,8.97
J1709-3841,0.586986163,7.8600e-15,5.17
J1709-4342,1.73589824,8.0000e-16,5.49
J1709-4401,0.865235334,7.3700e-15,4.98
J1709-4429,0.102459246,9.2985e-14,2.60
J1710-2616,0.954158007,2.0000e-17,4.26
J1710-4148,0.286561229,1.0200e-16,6.90
J1711-1509,0.868804249,1.1025e-15,2.94
J1711-3826,0.465364646,7.4130e-15,5.20
J1711-4322,0.102618288,2.6660e-17,4.17
J1711-5350,0.899217799,1.5494e-14,4.24
J1712-2715,0.25535966,1.2793e-15,3.13
J1713+0747,0.00457013653,8.5296e-21,1.18
J1713-3844,1.60011404,1.7741e-13,6.50
J1714-1054,0.696278743,5.8800e-17,2.65
J1714-3810,3.824936,5.8800e-11,13.20
J1715-3247,1.26021406,9.2000e-17,3.91
J1715-3700,0.779628114,1.5000e-16,6.08
J1715-3859,0.928107508,4.3970e-15,10.53
J1715-3903,0.278481055,3.7688e-14,4.80
J1715-4034,2.07215299,3.0100e-15,4.62
J1715-4254,0.573745359,8.7600e-16,12.58
J1716-3720,0.630313713,1.7970e-14,9.46
J1716-4005,0.311812765,2.8700e-15,6.33
J1716-4111,1.03606727,2.8820e-15,4.79
J1716-4711,0.555824216,8.3300e-16,19.58
J1717-3425,0.656299231,9.8036e-15,22.21
J1717-3737,0.682418627,5.2930e-15,6.31
J1717-3847,1.14949892,8.2000e-16,9.52
J1717-3953,1.08552062,3.3000e-17,6.88
J1717-4043,0.397857447,1.2230e-14,9.03
J1717-40435,0.349928508,1.7500e-15,11.41
J1717-4054,0.887718643,3.6831e-15,5.47
J1717-5800,0.321793347,1.9570e-16,8.85
J1718-3714,1.28937878,2.6210e-14,10.87
J1718-3718,3.37857425,1.6136e-12,5.08
J1718-3825,0.0746699206,1.3222e-14,4.24
J1718-4539,0.590472788,7.5070e-15,10.82
J1719-1438,0.00579015177,8.0430e-21,1.64
J1719-4006,0.189094493,1.6676e-15,6.28
J1719-4302,0.2354752,3.9210e-16,9.42
J1720-0212,0.477715344,8.2798e-17,5.41
J1720-1633,1.56560115,5.7980e-15,1.76
J1720+2150,1.61566378,7.4000e-16,3.59
J1720-2446,0.874264572,5.9300e-16,3.44
J1720-2933,0.620448365,7.4600e-16,1.43
J1720-3659,0.351124634,3.2700e-17,5.11
J1721-1936,1.00403746,1.6240e-15,8.60
J1721-1939,0.404039751,1.2830e-16,4.64
J1721-2457,0.00349663378,5.5420e-21,1.56
J1721-3532,0.280423859,2.5186e-14,4.60
J1722-3207,0.477157518,6.4626e-16,3.18
J1722-3632,0.399183352,4.4647e-15,5.30
J1722-3712,0.236173192,1.0854e-14,2.51
J1722-4400,0.218554096,3.7380e-16,7.27
J1723-2837,0.0018557328,7.5000e-21,1.00
J1723-2852,0.625033913,9.0000e-16,4.63
J1723-3659,0.202721938,8.0075e-15,4.28
J1724-3149,0.948236974,7.2500e-15,10.50
J1724-3505,1.22170769,2.1100e-14,12.01
J1724-4500,1.30910879,3.5100e-15,6.26
J1725-0732,0.239919487,4.2960e-16,3.43
J1725-2852,1.25778762,1.9900e-15,4.09
J1725-3546,1.0324712,1.5000e-14,10.20
J1725-3848,2.06238626,2.3000e-14,4.49
J1725-3853,0.0047918227,5.0000e-20,3.44
J1725-4043,1.46507137,2.7900e-15,4.80
J1726-3530,1.11013244,1.2168e-12,9.97
J1726-3635,0.287431567,1.4400e-15,7.36
J1726-4006,0.882778266,3.3300e-15,6.19
J1727-2739,1.29309994,1.1000e-15,3.75
J1727-2946,0.0270831832,2.4632e-19,1.62
J1728-0007,0.386003724,1.1227e-15,2.44
J1728-3733,0.615538243,7.2000e-17,4.94
J1728-4028,0.866342509,2.3000e-16,5.51
J1729-2117,0.0662928993,1.7200e-19,1.42
J1730-2304,0.00812279805,2.0184e-20,0.62
J1730-2900,1.53842673,8.8500e-15,6.85
J1730-3350,0.139460211,8.4829e-14,4.26
J1730-3353,3.2702418,2.1960e-14,4.23
J1731-1847,0.00234455955,2.5407e-20,4.03
J1731-3123,0.753047989,1.6790e-15,5.32
J1731-3322,0.544670547,2.8093e-14,11.98
J1731-4744,0.829828785,1.6363e-13,4.98
J1732-1930,0.483769998,1.8180e-16,2.21
J1732-3131,0.196543155,2.8048e-14,0.80
J1732-3426,0.332886679,4.0200e-16,6.38
J1732-3729,2.18400135,1.3000e-15,6.20
J1732-4128,0.627980684,1.2838e-14,5.94
J1732-4156,0.323434056,6.6100e-16,8.78
J1732-5049,0.00531255029,1.4195e-20,1.81
J1733-2228,0.871682833,4.2703e-17,1.49
J1733-2533,0.659794142,2.1000e-15,7.78
J1733-2837,0.768184557,1.1080e-15,4.66
J1733-3030,0.362051963,1.6485e-15,14.18
J1733-3322,1.24591463,4.1000e-15,6.30
J1733-3716,0.337585823,1.5046e-14,3.44
J1733-4005,0.561778329,3.6240e-15,13.95
J1733-5515,1.01123353,4.0000e-16,4.11
J1734-0212,0.839394325,4.2100e-16,5.36
J1734-2415,0.61252374,1.0510e-15,3.48
J1734-3058,0.541285681,1.6200e-17,4.37
J1734-3333,1.16934069,2.2794e-12,7.40
J1735-0243,0.782886977,6.3200e-16,3.25
J1735-0724,0.419334966,1.2147e-15,4.32
J1735-3258,0.350963229,2.6080e-14,11.14
J1736-2457,2.64222344,3.4300e-15,4.34
J1736-2819,1.59241948,1.4921e-14,4.86
J1736-2843,6.44503609,2.9990e-14,5.47
J1736-3511,0.502802783,1.5700e-15,2.72
J1737-0811,0.00417501731,7.9300e-21,2.38
J1737-3102,0.768672273,3.7334e-14,4.44
J1737-3137,0.45043237,1.3876e-13,5.88
J1737-3320,0.81627308,2.2510e-15,14.08
J1737-3555,0.397584746,6.1214e-15,2.25
J1738+0333,0.00585009586,2.4120e-20,1.47
J1738-2330,1.97884743,8.5590e-15,2.79
J1738-2647,0.349590991,3.1530e-15,3.88
J1738-2736,0.627715518,4.6243e-15,5.91
J1738-2955,0.443398022,8.1861e-14,3.91
J1738-3107,0.549497698,3.0000e-16,10.76
J1738-3211,0.768498945,7.9491e-16,1.48
J1738-3316,0.730372511,8.9000e-17,4.55
J1739+0612,0.234169036,1.5640e-16,5.44
J1739-1313,1.21569761,8.1700e-17,2.02
J1739-2903,0.322882432,7.8798e-15,3.19
J1739-3023,0.114367932,1.1401e-14,3.41
J1739-3049,0.239317178,2.1781e-15,6.97
J1739-3131,0.529440988,1.8584e-14,7.68
J1739-3159,0.877561237,1.9700e-16,4.85
J1739-3951,0.341772477,2.0000e-17,1.13
J1740+1000,0.154087174,2.1465e-14,1.36
J1740+1311,0.803050265,1.4513e-15,4.77
J1740-2540,1.69265634,1.8510e-15,8.26
J1740-3015,0.606886624,4.6612e-13,0.40
J1740-3052,0.570313412,2.5504e-14,10.84
J1740-3327,0.515000656,3.8978e-15,4.72
J1740-5340A,0.0036503289,1.6800e-19,2.20
J1741-0840,2.04308246,2.2747e-15,3.50
J1741+1351,0.0037471545,3.0217e-20,1.08
J1741-2019,3.90450636,1.6260e-14,2.00
J1741-2054,0.413700121,1.6983e-14,0.30
J1741-2719,0.346796929,8.1000e-17,5.74
J1741-2733,0.89295867,1.4800e-16,3.33
J1741+2758,1.36073769,1.8410e-15,2.06
J1741-2945,0.223557829,6.3420e-16,4.66
J1741-3016,1.89374869,8.9900e-15,5.02
J1741-3927,0.512211401,1.9313e-15,4.75
J1742-3957,1.0163492,8.2000e-17,6.40
J1742-4616,0.412401047,3.3800e-17,4.99
J1743-0339,0.444645107,1.5562e-15,1.59
J1743-1351,0.405336949,4.7752e-16,4.85
J1743-2442,1.24250831,4.7200e-16,4.96
J1743-3150,2.41457552,1.2078e-13,3.65
J1743-3153,0.1931054,1.0567e-14,8.03
J1743-4212,0.306166988,7.8340e-16,4.67
