pulsar,P_s,Pponto_s_por_s,distancia_kpc
J0614+2229,0.334959966,5.9449e-14,4.74
J0614-3329,0.00314866958,1.7500e-20,1.02
J0621+0336,0.269954068,7.2400e-18,3.58
J0621+1002,0.0288538607,4.7320e-20,1.88
J0622+3749,0.333208232,2.5424e-14,
J0623+0340,0.6137596,8.8370e-17,2.53
J0624-0424,1.03907648,8.3044e-16,4.28
J0627+0649,0.346522567,1.6980e-15,4.00
J0627+0706,0.475877009,2.9809e-14,7.88
J0628+0909,1.24142139,5.4790e-16,4.00
J0629+2415,0.476622836,1.9957e-15,4.67
J0630-0046,0.680574832,3.7481e-15,5.57
J0630-2834,1.2444186,7.1229e-15,0.32
J0631+1036,0.287800022,1.0467e-13,6.54
J0633+0632,0.297395191,7.9592e-14,
J0633+1746,0.237099442,1.0971e-14,0.25
J0633-2015,3.25321084,3.8200e-15,7.84
J0636-4549,1.98459737,3.1722e-15,0.98
J0636+5129,0.00286895285,3.3800e-21,0.20
J0645+5158,0.00885349669,4.9230e-21,0.77
J0646+0905,0.9039132,7.3570e-16,9.50
J0647+0913,1.23485363,6.4210e-15,10.84
J0652-0142,0.924053918,1.5250e-16,5.83
J0653+8051,1.21444051,3.7988e-15,3.37
J0656-2228,1.22475441,2.6700e-17,1.79
J0656-5449,0.183156899,3.1910e-17,4.88
J0658+0022,0.563294925,9.1520e-15,6.46
J0659+1414,0.384891195,5.5003e-14,0.28
J0700+6418,0.195670945,6.8530e-19,0.49
J0709-5923,0.485268384,1.2600e-16,4.94
J0711+0931,1.21409049,4.0000e-16,2.39
J0711-6830,0.00549096851,1.4907e-20,1.04
J0719-2545,0.974724731,7.2819e-15,17.33
J0720-3125,8.39111553,6.9830e-14,0.40
J0721-2038,0.015542395,4.4000e-20,3.87
J0725-1635,0.424311403,9.2640e-17,4.68
J0726-2612,3.44230849,2.9311e-13,3.01
J0729-1448,0.251658714,1.1329e-13,4.37
J0729-1836,0.510160345,1.8957e-14,3.25
J0733-2345,1.7962497,5.7040e-15,11.95
J0734-1559,0.15625,1.2200e-14,
J0737-2202,0.32036637,5.4688e-15,4.30
J0737-3039A,0.0226993786,1.7599e-18,1.10
J0737-3039B,2.77346077,8.9200e-16,1.10
J0738-4042,0.374919985,1.6161e-15,1.60
J0742-2822,0.166762292,1.6821e-14,2.00
J0745-5353,0.214836351,2.7300e-15,7.14
J0746-4529,2.79102518,1.6660e-14,5.71
J0749-4247,1.09545216,9.7700e-16,2.36
J0751+1807,0.00347877078,7.7860e-21,0.40
J0754+3231,1.44234948,1.0799e-15,3.92
J0758-1528,0.682265176,1.6189e-15,3.72
J0804-3647,2.1919869,4.2100e-15,7.79
J0806-4123,11.3703859,5.6000e-14,
J0807-5421,0.526643531,3.7800e-16,8.76
J0808-3937,0.866349285,4.0100e-16,5.62
J0809-4753,0.547199236,3.0825e-15,12.71
J0812-3905,0.482595929,4.4900e-17,26.83
J0814+7429,1.29224145,1.6811e-16,0.43
J0815+0939,0.645161191,1.3900e-16,4.52
J0818-3049,0.763741848,5.8000e-16,4.17
J0818-3232,2.16125893,7.5340e-16,3.82
J0820-1350,1.23812954,2.1052e-15,1.90
J0820-3826,0.12483638,2.4417e-15,6.82
J0820-3921,1.07356658,1.2169e-14,6.19
J0820-4114,0.545445536,1.8900e-17,2.38
J0821-4221,0.396728235,3.4781e-15,18.16
J0821-4300,0.112799455,9.3000e-18,2.20
J0823+0159,0.864872805,1.0455e-16,1.44
J0826+2637,0.530660512,1.7093e-15,0.32
J0828-3417,1.8489188,9.9630e-16,0.54
J0831-4406,0.311673518,1.2790e-15,12.73
J0834-4159,0.121116349,4.4370e-15,9.74
J0835-3707,0.541404374,9.7780e-15,2.34
J0835-4510,0.089328385,1.2501e-13,0.28
J0837+0610,1.27376829,6.7992e-15,0.76
J0837-4135,0.751623618,3.5393e-15,1.50
J0838-2621,0.308580662,3.9000e-17,4.56
J0838-3947,1.70394571,8.1000e-16,8.21
J0840-5332,0.720612361,1.6440e-15,7.77
J0842-4851,0.644354056,9.4970e-15,8.68
J0843-5022,0.208955693,1.7238e-16,7.69
J0846-3533,1.11609716,1.6014e-15,1.43
J0847-4316,5.97749274,1.1994e-13,13.44
J0849-6322,0.367953256,7.9080e-16,8.35
J0849+8028,1.60222797,4.4630e-16,3.38
J0855-3331,1.2675357,6.3210e-15,1.21
J0855-4644,0.0646861308,7.2627e-15,9.90
J0855-4658,0.575072383,1.3620e-14,28.35
J0856-6137,0.962508557,1.6770e-15,6.53
J0857-4424,0.32677421,2.3344e-14,6.53
J0900-3144,0.0111096492,4.9120e-20,0.82
J0901-4624,0.441995131,8.7494e-14,7.46
J0902-6325,0.660313372,1.0700e-16,4.44
J0904-4246,0.965170999,1.8870e-15,4.37
J0904-7459,0.549553119,4.6300e-16,4.41
J0905-4536,0.988280597,1.4900e-16,6.35
J0905-5127,0.346287437,2.4898e-14,8.38
J0905-6019,0.340854177,5.2200e-16,4.40
J0907-5157,0.253556015,1.8303e-15,2.63
J0908-1739,0.401625623,6.6950e-16,1.01
J0908-4913,0.106754592,1.5151e-14,1.00
J0909-7212,1.36288995,3.3300e-16,4.00
J0912-3851,1.52608508,3.5900e-15,0.62
J0919-6040,1.21697572,1.0000e-17,3.54
J0921+6254,1.56799402,3.6081e-15,0.79
J0922+0638,0.430627099,1.3729e-14,1.10
J0922-4949,0.950288537,9.7569e-14,10.37
J0924-5302,0.74629521,3.5477e-14,5.61
J0924-5814,0.739501327,4.8780e-15,1.87
J0931-1902,0.00463802939,4.1000e-21,3.63
J0932-3217,1.93162674,2.5000e-16,3.84
J0932-5327,4.39215871,8.3700e-15,3.91
J0934-4154,0.570409236,2.6900e-16,3.20
J0934-5249,1.44477321,4.6540e-15,2.93
J0940-5428,0.0875452043,3.2868e-14,4.27
J0941-5244,0.658557614,1.1379e-15,5.64
J0942-5552,0.664367488,2.2854e-14,0.30
J0942-5657,0.808127417,3.9628e-14,5.02
J0943+1631,1.08741773,9.1090e-17,1.76
J0944-1354,0.570264125,4.5256e-17,0.69
J0945-4833,0.331585599,4.8291e-15,2.71
J0946+0951,1.0977057,3.4934e-15,0.96
J0949-6902,0.640015724,6.3700e-16,8.68
J0952-3839,1.37381512,5.8000e-16,8.44
J0953+0755,0.253065165,2.2976e-16,0.26
J0954-5430,0.472834279,4.3912e-14,6.20
J0955-5304,0.862117739,3.5170e-15,4.87
J0957-5432,0.203556698,1.9470e-15,7.00
J0959-4809,0.67008576,8.2000e-17,2.96
J1000-5149,0.255677098,9.5950e-16,2.33
J1001-5507,1.43658263,5.1396e-14,0.30
J1001-5559,1.66117674,8.6000e-16,3.94
J1001-5939,7.73364026,5.9900e-14,3.30
J1002-5559,0.777500907,1.5700e-15,17.42
J1002-5919,0.713489254,1.0400e-16,15.13
J1003-4747,0.3070717,2.2074e-14,3.44
J1006-6311,0.835797468,5.7300e-16,9.30
J1012-2337,2.51794502,8.8090e-16,1.29
J1012+5307,0.00525574901,1.7128e-20,0.70
