planeta,M_Mterra,erro_M,R_Rterra,erro_R
NGTS-30 b,305.1153,17.7984,10.4019,0.3587
TOI-1533 b,28.1000,3.3000,2.8900,0.0600
WASP-116 b,203.4102,44.4960,13.6750,0.6725
TOI-1898 b,129.0000,7.0000,9.3955,0.2343
HIP 8152 b,8.9000,1.7000,2.5363,0.1569
TOI-1937 A b,638.8351,54.0308,13.9776,0.6613
TOI-1338 b,11.3000,2.1000,7.6610,0.0530
TOI-1235 b,6.6900,0.6700,1.6900,0.0800
HD 207897 b,14.8000,1.5000,2.3430,0.1236
TOI-905 b,211.9926,13.3489,13.1257,0.5941
TOI-2000 c,81.7000,4.7000,8.1400,0.3100
TOI-1333 b,753.2571,76.2792,15.6478,0.6277
K2-24 b,19.0000,2.2000,5.4000,0.2000
HD 1397 b,131.8995,6.3566,11.5004,0.2802
TOI-4582 b,168.4491,15.8914,10.5364,1.0088
NGTS-21 b,750.0750,66.7440,14.9079,0.3363
KELT-9 b,915.3458,111.2399,21.7006,0.5268
WASP-11 b,251.0857,54.0311,12.4420,1.1209
PH2 b,87.0850,20.9767,9.3371,0.2914
Kepler-406 b,6.3500,1.4000,1.4300,0.0300
CoRoT-11 b,740.5100,108.0600,16.0300,0.3400
TOI-5349 b,127.4000,5.8000,10.2000,0.3000
Kepler-14 b,2669.6600,111.2400,12.7330,0.8180
TOI-1117 b,8.9000,0.9500,2.4600,0.1300
TOI-4406 b,95.3485,9.5349,11.2090,0.2242
CoRoT-6 b,940.7400,108.0600,13.0680,0.3920
TOI-7510 d,190.0000,20.0000,10.5200,0.3200
Kepler-7 b,140.1630,13.6667,18.1810,0.1457
K2-146 c,7.4900,0.2400,2.1900,0.0700
HD 202772 A b,323.5493,20.9767,18.2370,0.7846
TOI-480 b,20.8000,4.4000,2.8537,0.1323
WASP-130 b,390.9309,12.7132,9.9760,0.3363
WASP-157 b,182.4344,29.5582,11.1900,0.2800
HD 136352 b,4.7200,0.4200,1.6640,0.0430
K2-263 b,15.4000,2.4000,2.5130,0.1100
TOI-5624 b,9.4000,1.4000,2.3140,0.0350
TrES-5 b,568.9157,21.6124,13.3835,0.1681
TOI-561 c,5.9300,0.6700,2.8650,0.0410
LTT 1445 A c,1.5400,0.2000,1.1470,0.0550
Kepler-8 b,187.5197,41.3179,15.8719,0.5941
HAT-P-15 b,616.5902,95.3490,11.8815,0.7846
CoRoT-5 b,148.4200,14.9370,15.5580,0.5160
TOI-757 b,10.5000,2.2000,2.5000,0.1000
WASP-197 b,403.3242,80.7284,14.4484,0.5492
WASP-181 b,95.0312,10.8062,13.2715,0.7958
55 Cnc e,7.9900,0.3200,1.8750,0.0290
HAT-P-69 b,1137.8314,184.3414,18.7863,0.5717
EPIC 220674823 b,7.5400,0.6500,1.6060,0.0340
OGLE-TR-111 b,174.7990,31.7820,11.4220,0.2914
TOI-1472 c,21.1300,0.9600,3.3340,0.0800
TOI-5153 b,1036.1206,57.2091,11.8815,0.4484
Kepler-105 b,10.8000,2.3000,2.5300,0.0700
TOI-1710 b,19.1000,2.3000,5.0600,0.0600
TOI-1899 b,212.9450,12.7131,11.0969,0.3363
Kepler-11 d,7.3000,0.8000,3.1200,0.0600
NGTS-14 A b,29.2404,3.8140,4.9768,0.3363
K2-131 b,7.9000,1.3000,1.6900,0.0850
TOI-6054.01,12.5000,1.7000,2.6400,0.1500
HD 97658 b,8.3000,1.1000,2.1200,0.0600
HAT-P-25 b,180.8453,7.3101,12.7222,0.5380
TOI-892 b,301.9385,22.2481,11.9936,0.2242
WASP-12 b,467.2101,24.1551,22.0256,0.9864
TOI-5800 b,9.5000,1.7000,2.4600,0.1800
TOI-2803 A b,309.8827,26.3798,18.1137,0.3811
TOI-2420 b,294.6269,27.0154,15.0200,0.8295
HATS-25 b,194.8298,13.3489,14.1233,1.1209
HAT-P-50 b,429.0705,23.2016,14.4372,0.7174
TOI-4465 b,1872.0093,82.6354,14.0112,0.8967
TOI-6255 b,1.4400,0.1400,1.0790,0.0650
WASP-80 b,170.9925,11.1241,11.1978,0.3363
WASP-149 b,314.9680,62.2944,15.2442,0.6725
TOI-2049 b,486.2775,57.2091,16.6453,0.7958
Kepler-428 b,403.6300,60.3900,12.1100,0.3400
HATS-47 b,117.2793,9.8527,12.5205,0.1569
G 9-40 b,4.0000,0.6300,1.9000,0.0650
HD 191939 b,10.0000,0.7000,3.4100,0.0750
TOI-1107 b,1064.7252,57.2091,14.5717,0.5604
TOI-6330 b,3179.0000,100.0000,10.8900,0.3700
Kepler-111 c,222.4799,44.4960,7.0841,0.2578
KELT-2 A b,540.3110,69.9226,15.1321,0.8967
TOI-1751 b,19.5000,3.5000,2.9508,0.1106
TOI-4487 A b,397.2855,50.8525,14.6053,0.7734
TOI-2981 b,638.0000,33.0000,13.4000,0.4200
HAT-P-56 b,734.1873,139.8452,16.9256,1.2330
K2-138 e,12.9700,1.9800,3.3900,0.1560
KELT-6 b,165.2716,38.1396,14.5717,1.0088
Kepler-15 b,209.7600,25.4300,10.7600,0.6700
WASP-114 b,562.2413,20.3411,15.0089,0.7174
K2-199 c,12.4000,2.3000,2.8500,0.1000
Kepler-95 b,13.0000,2.9000,3.4200,0.0900
TOI-674 b,23.6000,3.3000,5.2500,0.1700
Kepler-23 c,7.8100,1.3200,3.0050,0.0740
TrES-1 b,266.9772,34.9613,12.6662,0.6725
TOI-2202 b,287.3169,27.6511,10.9512,0.1793
LTT 1445 A b,2.7300,0.2500,1.3400,0.1100
Kepler-307 c,3.6400,0.6500,2.2000,0.0700
Kepler-20 b,9.7000,1.3000,1.7730,0.0530
CoRoT-4 b,228.8300,25.4300,13.3400,0.6700
NGTS-20 b,947.1287,50.8525,11.9936,0.4484
HD 63935 c,11.1000,2.0000,3.0645,0.0881
WASP-162 b,1652.7160,63.5660,11.2090,0.5605
TIC 172900988 b,942.0000,5.6000,11.2500,0.4400
CoRoT-3 b,6883.9100,317.8000,11.3200,0.7800
HATS-5 b,75.3230,3.8140,10.2230,0.2800
WASP-50 b,466.8287,29.2404,13.0697,0.4820
XO-7 b,225.3415,10.8062,15.3900,0.2914
WASP-47 b,374.0000,17.0000,12.8600,0.1000
TOI-4603 b,4096.8082,184.3405,11.6798,0.4259
TOI-1670 c,200.2319,28.6046,11.0633,0.2802
Kepler-17 b,778.6500,34.9600,14.6800,0.2200
TOI-132 b,22.4000,1.9000,3.4200,0.1300
NGTS-10 b,687.1485,29.2404,13.5068,1.3115
Kepler-18 d,16.4000,1.4000,6.9800,0.3300
TOI-3856 b,171.6273,31.7828,13.5965,0.2802
TOI-1695 b,6.3600,1.0000,1.9000,0.1600
HATS-24 b,718.2958,54.0311,15.6366,0.6389
TOI-6054.02,9.3000,1.9000,2.8200,0.1700
TOI-5788 c,6.4000,1.2000,2.2720,0.0390
TOI-1431 b,991.6246,57.2091,16.7014,0.5604
NGTS-2 b,235.1942,41.3179,17.8784,0.5268
TOI-421 c,14.1000,1.4000,5.0900,0.0700
WASP-194 b,373.1305,84.2245,15.4796,0.9864
TOI-1272 b,24.1000,1.4000,4.2600,0.1000
Kepler-93 b,4.6600,0.5300,1.4780,0.0190
TOI-3464 b,397.2855,85.8137,13.7646,0.6389
TOI-3593 b,565.7346,28.6046,11.0296,0.3139
TOI-178 g,4.4000,0.3900,2.9390,0.0570
TOI-954 b,55.3024,5.7209,9.5501,0.5941
WASP-29 b,73.1009,15.8915,8.6309,0.7846
TOI-1820 b,731.0053,63.5657,12.7782,0.2242
TOI-2497 b,1531.9329,130.3096,11.1417,0.6165
TOI-3362 b,1598.3591,212.3094,12.8007,0.4820
TOI-2977 b,533.9517,82.6354,13.1593,0.3475
K2-370 b,11.1000,1.5000,2.6700,0.0500
HIP 29442 d,5.1400,0.4100,1.5380,0.0490
TOI-4010 d,38.1500,3.2700,6.1800,0.1400
Kepler-131 b,16.1300,3.5000,2.4100,0.2000
HAT-P-17 b,184.3414,19.0698,11.7695,0.4484
HD 219134 b,4.7400,0.1900,1.6020,0.0550
Kepler-307 b,7.4400,0.9100,2.4300,0.0900
HAT-P-20 b,2302.8990,59.4320,9.7180,0.3700
TOI-1438 c,10.6000,2.1000,2.7500,0.1400
GJ 9827 d,3.0200,0.5800,1.9800,0.1100
WASP-39 b,89.3102,10.1706,14.3363,0.4484
WASP-153 b,123.9537,6.3566,17.3740,1.1209
TOI-778 b,878.0000,77.0000,15.4000,0.5000
NGTS-13 b,1538.2972,139.8452,12.8007,0.5156
TOI-2416 b,953.4852,31.7828,9.8639,0.2242
TOI-3523 A b,435.4249,38.1394,15.9728,0.4147
HAT-P-11 b,25.0000,1.5000,4.3600,0.0600
K2-55 b,44.0000,5.3000,4.4300,0.2900
TOI-7149 b,224.0000,24.0000,13.2000,0.5100
TOI-3976 A b,55.6200,11.7597,12.2738,0.4035
K2-232 b,126.4963,11.7597,11.2090,0.2466
LTT 9779 b,29.3200,0.7800,4.7200,0.2300
